# ahom localized C keywords — projected from Devanagari hub (ILM Layer-1 inverse)
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL. FLAGGED-NOT-FAKED: PARTIAL rows need native review.
𑜉𑜤𑜁्य	main	मुख्य	PARTIAL
𑜆𑜥𑜍्𑝅𑜡ं𑜀	int	पूर्णांक	PARTIAL
𑜒𑜀्ष𑜍	char	अक्षर	PARTIAL
𑜓्व𑜢𑜕𑜤𑜃	double	द्विगुन	PARTIAL
व्य𑜨𑜉	void	व्योम	PARTIAL
व𑜡𑜆𑜏	return	वापस	PARTIAL
𑜀्𑜍𑜉	for	क्रम	PARTIAL
𑜒𑜕𑜍	if	अगर	FULL
𑜒𑜃्य𑜌𑜡	else	अन्यथा	PARTIAL
𑜊𑜈𑜄𑜀	while	जबतक	FULL
𑜀𑜍𑜨	do	करो	FULL
𑜄𑜨𑝃़𑜨	break	तोड़ो	PARTIAL
𑜊𑜡𑜍𑜣	continue	जारी	FULL
𑝀𑜤𑜃𑜨	switch	चुनो	FULL
𑜑𑜡𑜎𑜄	case	हालत	FULL
श्𑜍𑜦𑝅𑜣	class	श्रेणी	PARTIAL
𑜁𑜤𑜎𑜡	public	खुला	FULL
𑜈ं𑜓	private	बंद	PARTIAL
𑜘व	virtual	भव	PARTIAL
𑜏𑜉𑜡व𑜦श	include	समावेश	PARTIAL
𑜗𑜨ष𑝅𑜡	define	घोषणा	PARTIAL
𑜒𑝅𑜤	{	अणु	FULL
𑜆𑜥𑜍्𑝅	}	पूर्ण	PARTIAL
𑜉_𑜎𑜢𑜁𑜨	printf	म_लिखो	FULL
𑜉_𑜆𑜥𑜋𑜨	scanf	म_पूछो	FULL
