# Bengali — C/C++ keywords in the LANGUAGE (not transliteration)
# script: Bengali | iso639: ben | (C) 1993-2026 Abhishek Choudhary, GPL
native	romenagri_ascii7	c_construct
যদি	yadi	if
অন্যথা	anyathaa	else
যতক্ষণ	yatak_sa_na	while
করো	karau	do
জন্য	janya	for
বিরতি	birati	break
চালু	caalu	continue
নির্বাচন	nirbaacana	switch
ক্ষেত্র	k_seetra	case
পূর্বনির্ধারিত	puurbanirdhaarita	default
ফেরত	pheerata	return
যাও	yaaau	goto
ধ্রুবক	dhrubaka	const
পূর্ণসংখ্যা	puur_nasa_nkhyaa	int
দশমিক	dashamika	float
দ্বিগুণ	dbigu_na	double
অক্ষর	ak_sara	char
শূন্য	shuunya	void
শ্রেণী	shree_nii	class
নতুন	natuna	new
সর্বজনীন	sarbajaniina	public
ব্যক্তিগত	byaktigata	private
সুরক্ষিত	surak_sita	protected
স্থির	sthira	static
আভাসী	aabhaasii	virtual
আকার	aakaara	sizeof
কাঠামো	kaathaamau	struct
সংঘ	sa_ngha	union
গণনা	ga_nanaa	enum
প্রকারলেখ	prakaaraleekha	typedef
বাহ্যিক	baahyika	extern
