# bengali localized C keywords — projected from Devanagari hub (ILM Layer-1 inverse)
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL. FLAGGED-NOT-FAKED: PARTIAL rows need native review.
মুখ্য	main	मुख्य	FULL
পূর্ণাংক	int	पूर्णांक	FULL
অক্ষর	char	अक्षर	FULL
দ্वিগুন	double	द्विगुन	PARTIAL
व্যোম	void	व्योम	PARTIAL
वাপস	return	वापस	PARTIAL
ক্রম	for	क्रम	FULL
অগর	if	अगर	FULL
অন্যথা	else	अन्यथा	FULL
জবতক	while	जबतक	FULL
করো	do	करो	FULL
তোড़ো	break	तोड़ो	PARTIAL
জারী	continue	जारी	FULL
চুনো	switch	चुनो	FULL
হালত	case	हालत	FULL
শ্রেণী	class	श्रेणी	FULL
খুলা	public	खुला	FULL
বংদ	private	बंद	FULL
ভव	virtual	भव	PARTIAL
সমাवেশ	include	समावेश	PARTIAL
ঘোষণা	define	घोषणा	FULL
অণু	{	अणु	FULL
পূর্ণ	}	पूर्ण	FULL
ম_লিখো	printf	म_लिखो	FULL
ম_পূছো	scanf	म_पूछो	FULL
