# bhaiksuki localized C keywords — projected from Devanagari hub (ILM Layer-1 inverse)
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL. FLAGGED-NOT-FAKED: PARTIAL rows need native review.
𑰦𑰲𑰏𑰿𑰧	main	मुख्य	FULL
𑰢𑰳𑰨𑰿𑰜𑰯𑰽𑰎	int	पूर्णांक	FULL
𑰀𑰎𑰿𑰬𑰨	char	अक्षर	FULL
𑰟𑰿𑰪𑰰𑰐𑰲𑰡	double	द्विगुन	FULL
𑰪𑰿𑰧𑰺𑰦	void	व्योम	FULL
𑰪𑰯𑰢𑰭	return	वापस	FULL
𑰎𑰿𑰨𑰦	for	क्रम	FULL
𑰀𑰐𑰨	if	अगर	FULL
𑰀𑰡𑰿𑰧𑰞𑰯	else	अन्यथा	FULL
𑰕𑰤𑰝𑰎	while	जबतक	FULL
𑰎𑰨𑰺	do	करो	FULL
𑰝𑰺𑰚़𑰺	break	तोड़ो	PARTIAL
𑰕𑰯𑰨𑰱	continue	जारी	FULL
𑰓𑰲𑰡𑰺	switch	चुनो	FULL
𑰮𑰯𑰩𑰝	case	हालत	FULL
𑰫𑰿𑰨𑰸𑰜𑰱	class	श्रेणी	FULL
𑰏𑰲𑰩𑰯	public	खुला	FULL
𑰤𑰽𑰟	private	बंद	FULL
𑰥𑰪	virtual	भव	FULL
𑰭𑰦𑰯𑰪𑰸𑰫	include	समावेश	FULL
𑰑𑰺𑰬𑰜𑰯	define	घोषणा	FULL
𑰀𑰜𑰲	{	अणु	FULL
𑰢𑰳𑰨𑰿𑰜	}	पूर्ण	FULL
𑰦_𑰩𑰰𑰏𑰺	printf	म_लिखो	FULL
𑰦_𑰢𑰳𑰔𑰺	scanf	म_पूछो	FULL
