# cham localized C keywords — projected from Devanagari hub (ILM Layer-1 inverse)
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL. FLAGGED-NOT-FAKED: PARTIAL rows need native review.
ꨠꨭꨇ्ꨢ	main	मुख्य	PARTIAL
ꨚूꨣ्णꨩंꨆ	int	पूर्णांक	PARTIAL
ꨀꨆ्ꨦꨣ	char	अक्षर	PARTIAL
ꨕ्ꨥꨪꨈꨭꨘ	double	द्विगुन	PARTIAL
ꨥ्ꨢꨯꨠ	void	व्योम	PARTIAL
ꨥꨩꨚꨧ	return	वापस	FULL
ꨆ्ꨣꨠ	for	क्रम	PARTIAL
ꨀꨈꨣ	if	अगर	FULL
ꨀꨘ्ꨢꨔꨩ	else	अन्यथा	PARTIAL
ꨎꨝꨓꨆ	while	जबतक	FULL
ꨆꨣꨯ	do	करो	FULL
ꨓꨯꨙ़ꨯ	break	तोड़ो	PARTIAL
ꨎꨩꨣꨫ	continue	जारी	FULL
चꨭꨘꨯ	switch	चुनो	PARTIAL
ꨨꨩꨤꨓ	case	हालत	FULL
श्ꨣेणꨫ	class	श्रेणी	PARTIAL
ꨇꨭꨤꨩ	public	खुला	FULL
ꨝंꨕ	private	बंद	PARTIAL
ꨞꨥ	virtual	भव	FULL
ꨧꨠꨩꨥेश	include	समावेश	PARTIAL
ꨉꨯꨦणꨩ	define	घोषणा	PARTIAL
ꨀणꨭ	{	अणु	PARTIAL
ꨚूꨣ्ण	}	पूर्ण	PARTIAL
ꨠ_ꨤꨪꨇꨯ	printf	म_लिखो	FULL
ꨠ_ꨚूꨌꨯ	scanf	म_पूछो	PARTIAL
