# dogra localized C keywords — projected from Devanagari hub (ILM Layer-1 inverse)
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL. FLAGGED-NOT-FAKED: PARTIAL rows need native review.
𑠢𑠯𑠋𑠹𑠣	main	मुख्य	FULL
𑠞𑠰𑠤𑠹𑠘𑠬𑠷𑠊	int	पूर्णांक	FULL
𑠀𑠊𑠹𑠨𑠤	char	अक्षर	FULL
𑠛𑠹𑠦𑠭𑠌𑠯𑠝	double	द्विगुन	FULL
𑠦𑠹𑠣𑠵𑠢	void	व्योम	FULL
𑠦𑠬𑠞𑠩	return	वापस	FULL
𑠊𑠹𑠤𑠢	for	क्रम	FULL
𑠀𑠌𑠤	if	अगर	FULL
𑠀𑠝𑠹𑠣𑠚𑠬	else	अन्यथा	FULL
𑠑𑠠𑠙𑠊	while	जबतक	FULL
𑠊𑠤𑠵	do	करो	FULL
𑠙𑠵𑠖़𑠵	break	तोड़ो	PARTIAL
𑠑𑠬𑠤𑠮	continue	जारी	FULL
𑠏𑠯𑠝𑠵	switch	चुनो	FULL
𑠪𑠬𑠥𑠙	case	हालत	FULL
𑠧𑠹𑠤𑠳𑠘𑠮	class	श्रेणी	FULL
𑠋𑠯𑠥𑠬	public	खुला	FULL
𑠠𑠷𑠛	private	बंद	FULL
𑠡𑠦	virtual	भव	FULL
𑠩𑠢𑠬𑠦𑠳𑠧	include	समावेश	FULL
𑠍𑠵𑠨𑠘𑠬	define	घोषणा	FULL
𑠀𑠘𑠯	{	अणु	FULL
𑠞𑠰𑠤𑠹𑠘	}	पूर्ण	FULL
𑠢_𑠥𑠭𑠋𑠵	printf	म_लिखो	FULL
𑠢_𑠞𑠰𑠐𑠵	scanf	म_पूछो	FULL
