# grantha localized C keywords — projected from Devanagari hub (ILM Layer-1 inverse)
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL. FLAGGED-NOT-FAKED: PARTIAL rows need native review.
𑌮𑍁𑌖𑍍𑌯	main	मुख्य	FULL
𑌪𑍂𑌰𑍍𑌣𑌾𑌂𑌕	int	पूर्णांक	FULL
𑌅𑌕𑍍𑌷𑌰	char	अक्षर	FULL
𑌦𑍍𑌵𑌿𑌗𑍁𑌨	double	द्विगुन	FULL
𑌵𑍍𑌯ो𑌮	void	व्योम	PARTIAL
𑌵𑌾𑌪𑌸	return	वापस	FULL
𑌕𑍍𑌰𑌮	for	क्रम	FULL
𑌅𑌗𑌰	if	अगर	FULL
𑌅𑌨𑍍𑌯𑌥𑌾	else	अन्यथा	FULL
𑌜𑌬𑌤𑌕	while	जबतक	FULL
𑌕𑌰ो	do	करो	PARTIAL
𑌤ो𑌡़ो	break	तोड़ो	PARTIAL
𑌜𑌾𑌰𑍀	continue	जारी	FULL
𑌚𑍁𑌨ो	switch	चुनो	PARTIAL
𑌹𑌾𑌲𑌤	case	हालत	FULL
𑌶𑍍𑌰े𑌣𑍀	class	श्रेणी	PARTIAL
𑌖𑍁𑌲𑌾	public	खुला	FULL
𑌬𑌂𑌦	private	बंद	FULL
𑌭𑌵	virtual	भव	FULL
𑌸𑌮𑌾𑌵े𑌶	include	समावेश	PARTIAL
𑌘ो𑌷𑌣𑌾	define	घोषणा	PARTIAL
𑌅𑌣𑍁	{	अणु	FULL
𑌪𑍂𑌰𑍍𑌣	}	पूर्ण	FULL
𑌮_𑌲𑌿𑌖ो	printf	म_लिखो	PARTIAL
𑌮_𑌪𑍂𑌛ो	scanf	म_पूछो	PARTIAL
