# gujarati localized C keywords — projected from Devanagari hub (ILM Layer-1 inverse)
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL. FLAGGED-NOT-FAKED: PARTIAL rows need native review.
મુખ્ય	main	मुख्य	FULL
પૂર્ણાંક	int	पूर्णांक	FULL
અક્ષર	char	अक्षर	FULL
દ્વિગુન	double	द्विगुन	FULL
વ્યોમ	void	व्योम	FULL
વાપસ	return	वापस	FULL
ક્રમ	for	क्रम	FULL
અગર	if	अगर	FULL
અન્યથા	else	अन्यथा	FULL
જબતક	while	जबतक	FULL
કરો	do	करो	FULL
તોડ़ો	break	तोड़ो	PARTIAL
જારી	continue	जारी	FULL
ચુનો	switch	चुनो	FULL
હાલત	case	हालत	FULL
શ્રેણી	class	श्रेणी	FULL
ખુલા	public	खुला	FULL
બંદ	private	बंद	FULL
ભવ	virtual	भव	FULL
સમાવેશ	include	समावेश	FULL
ઘોષણા	define	घोषणा	FULL
અણુ	{	अणु	FULL
પૂર્ણ	}	पूर्ण	FULL
મ_લિખો	printf	म_लिखो	FULL
મ_પૂછો	scanf	म_पूछो	FULL
