# javanese localized C keywords — projected from Devanagari hub (ILM Layer-1 inverse)
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL. FLAGGED-NOT-FAKED: PARTIAL rows need native review.
ꦩुख्ꦪ	main	मुख्य	PARTIAL
ꦥूꦫ्णांꦏ	int	पूर्णांक	PARTIAL
ꦄꦏ्षꦫ	char	अक्षर	PARTIAL
ꦢ्विꦒुꦤ	double	द्विगुन	PARTIAL
व्ꦪोꦩ	void	व्योम	PARTIAL
वाꦥꦱ	return	वापस	PARTIAL
ꦏ्ꦫꦩ	for	क्रम	PARTIAL
ꦄꦒꦫ	if	अगर	FULL
ꦄꦤ्ꦪथा	else	अन्यथा	PARTIAL
ꦗꦧꦠꦏ	while	जबतक	FULL
ꦏꦫो	do	करो	PARTIAL
ꦠोꦝ़ो	break	तोड़ो	PARTIAL
ꦗाꦫी	continue	जारी	PARTIAL
ꦕुꦤो	switch	चुनो	PARTIAL
ꦲाꦭꦠ	case	हालत	PARTIAL
श्ꦫेणी	class	श्रेणी	PARTIAL
खुꦭा	public	खुला	PARTIAL
ꦧंꦢ	private	बंद	PARTIAL
भव	virtual	भव	PARTIAL
ꦱꦩावेश	include	समावेश	PARTIAL
घोषणा	define	घोषणा	PARTIAL
ꦄणु	{	अणु	PARTIAL
ꦥूꦫ्ण	}	पूर्ण	PARTIAL
ꦩ_ꦭिखो	printf	म_लिखो	PARTIAL
ꦩ_ꦥूछो	scanf	म_पूछो	PARTIAL
