# kaithi localized C keywords — projected from Devanagari hub (ILM Layer-1 inverse)
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL. FLAGGED-NOT-FAKED: PARTIAL rows need native review.
𑂧𑂳𑂎𑂹𑂨	main	मुख्य	FULL
𑂣𑂴𑂩𑂹𑂝𑂰𑂁𑂍	int	पूर्णांक	FULL
𑂃𑂍𑂹𑂭𑂩	char	अक्षर	FULL
𑂠𑂹𑂫𑂱𑂏𑂳𑂢	double	द्विगुन	FULL
𑂫𑂹𑂨𑂷𑂧	void	व्योम	FULL
𑂫𑂰𑂣𑂮	return	वापस	FULL
𑂍𑂹𑂩𑂧	for	क्रम	FULL
𑂃𑂏𑂩	if	अगर	FULL
𑂃𑂢𑂹𑂨𑂟𑂰	else	अन्यथा	FULL
𑂔𑂥𑂞𑂍	while	जबतक	FULL
𑂍𑂩𑂷	do	करो	FULL
𑂞𑂷𑂙़𑂷	break	तोड़ो	PARTIAL
𑂔𑂰𑂩𑂲	continue	जारी	FULL
𑂒𑂳𑂢𑂷	switch	चुनो	FULL
𑂯𑂰𑂪𑂞	case	हालत	FULL
𑂬𑂹𑂩𑂵𑂝𑂲	class	श्रेणी	FULL
𑂎𑂳𑂪𑂰	public	खुला	FULL
𑂥𑂁𑂠	private	बंद	FULL
𑂦𑂫	virtual	भव	FULL
𑂮𑂧𑂰𑂫𑂵𑂬	include	समावेश	FULL
𑂐𑂷𑂭𑂝𑂰	define	घोषणा	FULL
𑂃𑂝𑂳	{	अणु	FULL
𑂣𑂴𑂩𑂹𑂝	}	पूर्ण	FULL
𑂧_𑂪𑂱𑂎𑂷	printf	म_लिखो	FULL
𑂧_𑂣𑂴𑂓𑂷	scanf	म_पूछो	FULL
