# Kannada — C/C++ keywords in the LANGUAGE (not transliteration)
# script: Kannada | iso639: kan | (C) 1993-2026 Abhishek Choudhary, GPL
native	romenagri_ascii7	c_construct
ಆದರೆ	aadaree	if
ಇಲ್ಲದಿದ್ದರೆ	illadiddaree	else
ತನಕ	tanaka	while
ಮಾಡು	maadu	do
ಗಾಗಿ	gaagi	for
ನಿಲ್ಲಿಸು	nillisu	break
ಮುಂದುವರಿ	mu_nduvari	continue
ಆಯ್ಕೆ	aayke	switch
ಸ್ಥಿತಿ	sthiti	case
ಪೂರ್ವನಿಯೋಜಿತ	puurvaniyaujita	default
ಹಿಂತಿರುಗಿಸು	hi_ntirugisu	return
ಹೋಗು	haugu	goto
ಸ್ಥಿರಾಂಕ	sthiraa_nka	const
ಪೂರ್ಣಾಂಕ	puur_naa_nka	int
ದಶಮಾಂಶ	dashamaa_nsha	float
ದ್ವಿಗುಣ	dvigu_na	double
ಅಕ್ಷರ	ak_sara	char
ಶೂನ್ಯ	shuunya	void
ವರ್ಗ	varga	class
ಹೊಸ	hosa	new
ಸಾರ್ವಜನಿಕ	saarvajanika	public
ಖಾಸಗಿ	khaasagi	private
ಸಂರಕ್ಷಿತ	sa_mrak_sita	protected
ಸ್ಥಿರ	sthira	static
ವಾಸ್ತವಿಕ	vaastavika	virtual
ಗಾತ್ರ	gaatra	sizeof
ರಚನೆ	racane	struct
ಒಕ್ಕೂಟ	okkuuta	union
ಎಣಿಕೆ	e_nike	enum
ಪ್ರಕಾರವ್ಯಾಖ್ಯೆ	prakaaravyaakhye	typedef
ಬಾಹ್ಯ	baahya	extern
