# kannada localized C keywords — projected from Devanagari hub (ILM Layer-1 inverse)
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL. FLAGGED-NOT-FAKED: PARTIAL rows need native review.
ಮುಖ್ಯ	main	मुख्य	FULL
ಪೂರ್ಣಾಂಕ	int	पूर्णांक	FULL
ಅಕ್ಷರ	char	अक्षर	FULL
ದ್ವಿಗುನ	double	द्विगुन	FULL
ವ್ಯೊಮ	void	व्योम	FULL
ವಾಪಸ	return	वापस	FULL
ಕ್ರಮ	for	क्रम	FULL
ಅಗರ	if	अगर	FULL
ಅನ್ಯಥಾ	else	अन्यथा	FULL
ಜಬತಕ	while	जबतक	FULL
ಕರೊ	do	करो	FULL
ತೊಡ़ೊ	break	तोड़ो	PARTIAL
ಜಾರೀ	continue	जारी	FULL
ಚುನೊ	switch	चुनो	FULL
ಹಾಲತ	case	हालत	FULL
ಶ್ರೆಣೀ	class	श्रेणी	FULL
ಖುಲಾ	public	खुला	FULL
ಬಂದ	private	बंद	FULL
ಭವ	virtual	भव	FULL
ಸಮಾವೆಶ	include	समावेश	FULL
ಘೊಷಣಾ	define	घोषणा	FULL
ಅಣು	{	अणु	FULL
ಪೂರ್ಣ	}	पूर्ण	FULL
ಮ_ಲಿಖೊ	printf	म_लिखो	FULL
ಮ_ಪೂಛೊ	scanf	म_पूछो	FULL
