# lao localized C keywords — projected from Devanagari hub (ILM Layer-1 inverse)
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL. FLAGGED-NOT-FAKED: PARTIAL rows need native review.
मຸख्य	main	मुख्य	PARTIAL
पູर्णາंक	int	पूर्णांक	PARTIAL
अक्षर	char	अक्षर	PARTIAL
द्वິगຸन	double	द्विगुन	PARTIAL
व्यໂम	void	व्योम	PARTIAL
वາपस	return	वापस	PARTIAL
क्रम	for	क्रम	PARTIAL
अगर	if	अगर	PARTIAL
अन्यथາ	else	अन्यथा	PARTIAL
जबतक	while	जबतक	PARTIAL
करໂ	do	करो	PARTIAL
तໂड़ໂ	break	तोड़ो	PARTIAL
जາरີ	continue	जारी	PARTIAL
चຸनໂ	switch	चुनो	PARTIAL
हາलत	case	हालत	PARTIAL
श्रເणີ	class	श्रेणी	PARTIAL
खຸलາ	public	खुला	PARTIAL
बंद	private	बंद	PARTIAL
भव	virtual	भव	PARTIAL
समາवເश	include	समावेश	PARTIAL
घໂषणາ	define	घोषणा	PARTIAL
अणຸ	{	अणु	PARTIAL
पູर्ण	}	पूर्ण	PARTIAL
म_लິखໂ	printf	म_लिखो	PARTIAL
म_पູछໂ	scanf	म_पूछो	PARTIAL
