# mahajani localized C keywords — projected from Devanagari hub (ILM Layer-1 inverse)
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL. FLAGGED-NOT-FAKED: PARTIAL rows need native review.
𑅬ु𑅖्य	main	मुख्य	PARTIAL
𑅨ू𑅭्𑅢ां𑅕	int	पूर्णांक	PARTIAL
𑅐𑅕्ष𑅭	char	अक्षर	PARTIAL
𑅥्𑅯ि𑅗ु𑅧	double	द्विगुन	PARTIAL
𑅯्यो𑅬	void	व्योम	PARTIAL
𑅯ा𑅨𑅰	return	वापस	PARTIAL
𑅕्𑅭𑅬	for	क्रम	PARTIAL
𑅐𑅗𑅭	if	अगर	FULL
𑅐𑅧्य𑅤ा	else	अन्यथा	PARTIAL
𑅛𑅪𑅣𑅕	while	जबतक	FULL
𑅕𑅭ो	do	करो	PARTIAL
𑅣ो𑅠़ो	break	तोड़ो	PARTIAL
𑅛ा𑅭ी	continue	जारी	PARTIAL
𑅙ु𑅧ो	switch	चुनो	PARTIAL
𑅱ा𑅮𑅣	case	हालत	PARTIAL
श्𑅭े𑅢ी	class	श्रेणी	PARTIAL
𑅖ु𑅮ा	public	खुला	PARTIAL
𑅪ं𑅥	private	बंद	PARTIAL
𑅫𑅯	virtual	भव	FULL
𑅰𑅬ा𑅯ेश	include	समावेश	PARTIAL
𑅘ोष𑅢ा	define	घोषणा	PARTIAL
𑅐𑅢ु	{	अणु	PARTIAL
𑅨ू𑅭्𑅢	}	पूर्ण	PARTIAL
𑅬_𑅮ि𑅖ो	printf	म_लिखो	PARTIAL
𑅬_𑅨ू𑅚ो	scanf	म_पूछो	PARTIAL
