# meetei_mayek localized C keywords — projected from Devanagari hub (ILM Layer-1 inverse)
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL. FLAGGED-NOT-FAKED: PARTIAL rows need native review.
मुख्य	main	मुख्य	PARTIAL
ꯄूर्णांक	int	पूर्णांक	PARTIAL
अक्षर	char	अक्षर	PARTIAL
द्विगुꯅ	double	द्विगुन	PARTIAL
व्योम	void	व्योम	PARTIAL
वाꯄस	return	वापस	PARTIAL
क्रम	for	क्रम	PARTIAL
अगर	if	अगर	PARTIAL
अꯅ्यथा	else	अन्यथा	PARTIAL
जꯕतक	while	जबतक	PARTIAL
करो	do	करो	PARTIAL
तोड़ो	break	तोड़ो	PARTIAL
जारी	continue	जारी	PARTIAL
चुꯅो	switch	चुनो	PARTIAL
हालत	case	हालत	PARTIAL
श्रेणी	class	श्रेणी	PARTIAL
खुला	public	खुला	PARTIAL
ꯕंद	private	बंद	PARTIAL
भव	virtual	भव	PARTIAL
समावेश	include	समावेश	PARTIAL
घोषणा	define	घोषणा	PARTIAL
अणु	{	अणु	PARTIAL
ꯄूर्ण	}	पूर्ण	PARTIAL
म_लिखो	printf	म_लिखो	PARTIAL
म_ꯄूछो	scanf	म_पूछो	PARTIAL
