# modi localized C keywords — projected from Devanagari hub (ILM Layer-1 inverse)
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL. FLAGGED-NOT-FAKED: PARTIAL rows need native review.
𑘦𑘳𑘏𑘿𑘧	main	मुख्य	FULL
𑘢𑘴𑘨𑘿𑘜𑘰𑘽𑘎	int	पूर्णांक	FULL
𑘀𑘎𑘿𑘬𑘨	char	अक्षर	FULL
𑘟𑘿𑘪𑘱𑘐𑘳𑘡	double	द्विगुन	FULL
𑘪𑘿𑘧𑘻𑘦	void	व्योम	FULL
𑘪𑘰𑘢𑘭	return	वापस	FULL
𑘎𑘿𑘨𑘦	for	क्रम	FULL
𑘀𑘐𑘨	if	अगर	FULL
𑘀𑘡𑘿𑘧𑘞𑘰	else	अन्यथा	FULL
𑘕𑘤𑘝𑘎	while	जबतक	FULL
𑘎𑘨𑘻	do	करो	FULL
𑘝𑘻𑘚़𑘻	break	तोड़ो	PARTIAL
𑘕𑘰𑘨𑘲	continue	जारी	FULL
𑘓𑘳𑘡𑘻	switch	चुनो	FULL
𑘮𑘰𑘩𑘝	case	हालत	FULL
𑘫𑘿𑘨𑘹𑘜𑘲	class	श्रेणी	FULL
𑘏𑘳𑘩𑘰	public	खुला	FULL
𑘤𑘽𑘟	private	बंद	FULL
𑘥𑘪	virtual	भव	FULL
𑘭𑘦𑘰𑘪𑘹𑘫	include	समावेश	FULL
𑘑𑘻𑘬𑘜𑘰	define	घोषणा	FULL
𑘀𑘜𑘳	{	अणु	FULL
𑘢𑘴𑘨𑘿𑘜	}	पूर्ण	FULL
𑘦_𑘩𑘱𑘏𑘻	printf	म_लिखो	FULL
𑘦_𑘢𑘴𑘔𑘻	scanf	म_पूछो	FULL
