# multani localized C keywords — projected from Devanagari hub (ILM Layer-1 inverse)
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL. FLAGGED-NOT-FAKED: PARTIAL rows need native review.
𑊠ु𑊅्𑊡	main	मुख्य	PARTIAL
𑊛ू𑊢्𑊕ां𑊄	int	पूर्णांक	PARTIAL
𑊀𑊄्ष𑊢	char	अक्षर	PARTIAL
𑊘्𑊤ि𑊆ु𑊚	double	द्विगुन	PARTIAL
𑊤्𑊡ो𑊠	void	व्योम	PARTIAL
𑊤ा𑊛𑊥	return	वापस	PARTIAL
𑊄्𑊢𑊠	for	क्रम	PARTIAL
𑊀𑊆𑊢	if	अगर	FULL
𑊀𑊚्𑊡𑊗ा	else	अन्यथा	PARTIAL
𑊌𑊝𑊖𑊄	while	जबतक	FULL
𑊄𑊢ो	do	करो	PARTIAL
𑊖ो𑊒़ो	break	तोड़ो	PARTIAL
𑊌ा𑊢ी	continue	जारी	PARTIAL
𑊊ु𑊚ो	switch	चुनो	PARTIAL
𑊦ा𑊣𑊖	case	हालत	PARTIAL
श्𑊢े𑊕ी	class	श्रेणी	PARTIAL
𑊅ु𑊣ा	public	खुला	PARTIAL
𑊝ं𑊘	private	बंद	PARTIAL
𑊟𑊤	virtual	भव	FULL
𑊥𑊠ा𑊤ेश	include	समावेश	PARTIAL
𑊈ोष𑊕ा	define	घोषणा	PARTIAL
𑊀𑊕ु	{	अणु	PARTIAL
𑊛ू𑊢्𑊕	}	पूर्ण	PARTIAL
𑊠_𑊣ि𑊅ो	printf	म_लिखो	PARTIAL
𑊠_𑊛ू𑊋ो	scanf	म_पूछो	PARTIAL
