# myanmar localized C keywords — projected from Devanagari hub (ILM Layer-1 inverse)
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL. FLAGGED-NOT-FAKED: PARTIAL rows need native review.
မုခ္ယ	main	मुख्य	FULL
ပူရ္ဏာံက	int	पूर्णांक	FULL
အက္ၑရ	char	अक्षर	FULL
ဒ္वိဂုန	double	द्विगुन	PARTIAL
व္ယोမ	void	व्योम	PARTIAL
वာပသ	return	वापस	PARTIAL
က္ရမ	for	क्रम	FULL
အဂရ	if	अगर	FULL
အန္ယထာ	else	अन्यथा	FULL
ဇဗတက	while	जबतक	FULL
ကရो	do	करो	PARTIAL
တोဍ़ो	break	तोड़ो	PARTIAL
ဇာရီ	continue	जारी	FULL
စုနो	switch	चुनो	PARTIAL
ဟာလတ	case	हालत	FULL
ၐ္ရေဏီ	class	श्रेणी	FULL
ခုလာ	public	खुला	FULL
ဗံဒ	private	बंद	FULL
ဘव	virtual	भव	PARTIAL
သမာवေၐ	include	समावेश	PARTIAL
ဃोၑဏာ	define	घोषणा	PARTIAL
အဏု	{	अणु	FULL
ပူရ္ဏ	}	पूर्ण	FULL
မ_လိခो	printf	म_लिखो	PARTIAL
မ_ပူဆो	scanf	म_पूछो	PARTIAL
