# nandinagari localized C keywords — projected from Devanagari hub (ILM Layer-1 inverse)
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL. FLAGGED-NOT-FAKED: PARTIAL rows need native review.
𑧆𑧔𑦯𑧠𑧇	main	मुख्य	FULL
𑧂𑧕𑧈𑧠𑦼𑧑𑧞𑦮	int	पूर्णांक	FULL
𑦠𑦮𑧠𑧌𑧈	char	अक्षर	FULL
𑦿𑧠𑧊𑧒𑦰𑧔𑧁	double	द्विगुन	FULL
𑧊𑧠𑧇𑧜𑧆	void	व्योम	FULL
𑧊𑧑𑧂𑧍	return	वापस	FULL
𑦮𑧠𑧈𑧆	for	क्रम	FULL
𑦠𑦰𑧈	if	अगर	FULL
𑦠𑧁𑧠𑧇𑦾𑧑	else	अन्यथा	FULL
𑦵𑧄𑦽𑦮	while	जबतक	FULL
𑦮𑧈𑧜	do	करो	FULL
𑦽𑧜𑦺़𑧜	break	तोड़ो	PARTIAL
𑦵𑧑𑧈𑧓	continue	जारी	FULL
𑦳𑧔𑧁𑧜	switch	चुनो	FULL
𑧎𑧑𑧉𑦽	case	हालत	FULL
𑧋𑧠𑧈𑧚𑦼𑧓	class	श्रेणी	FULL
𑦯𑧔𑧉𑧑	public	खुला	FULL
𑧄𑧞𑦿	private	बंद	FULL
𑧅𑧊	virtual	भव	FULL
𑧍𑧆𑧑𑧊𑧚𑧋	include	समावेश	FULL
𑦱𑧜𑧌𑦼𑧑	define	घोषणा	FULL
𑦠𑦼𑧔	{	अणु	FULL
𑧂𑧕𑧈𑧠𑦼	}	पूर्ण	FULL
𑧆_𑧉𑧒𑦯𑧜	printf	म_लिखो	FULL
𑧆_𑧂𑧕𑦴𑧜	scanf	म_पूछो	FULL
