# oriya localized C keywords — projected from Devanagari hub (ILM Layer-1 inverse)
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL. FLAGGED-NOT-FAKED: PARTIAL rows need native review.
ମୁଖ୍ଯ	main	मुख्य	FULL
ପୂର୍ଣାଂକ	int	पूर्णांक	FULL
ଅକ୍ଷର	char	अक्षर	FULL
ଦ୍ଵିଗୁନ	double	द्विगुन	FULL
ଵ୍ଯୋମ	void	व्योम	FULL
ଵାପସ	return	वापस	FULL
କ୍ରମ	for	क्रम	FULL
ଅଗର	if	अगर	FULL
ଅନ୍ଯଥା	else	अन्यथा	FULL
ଜବତକ	while	जबतक	FULL
କରୋ	do	करो	FULL
ତୋଡ़ୋ	break	तोड़ो	PARTIAL
ଜାରୀ	continue	जारी	FULL
ଚୁନୋ	switch	चुनो	FULL
ହାଲତ	case	हालत	FULL
ଶ୍ରେଣୀ	class	श्रेणी	FULL
ଖୁଲା	public	खुला	FULL
ବଂଦ	private	बंद	FULL
ଭଵ	virtual	भव	FULL
ସମାଵେଶ	include	समावेश	FULL
ଘୋଷଣା	define	घोषणा	FULL
ଅଣୁ	{	अणु	FULL
ପୂର୍ଣ	}	पूर्ण	FULL
ମ_ଲିଖୋ	printf	म_लिखो	FULL
ମ_ପୂଛୋ	scanf	म_पूछो	FULL
