# Punjabi — C/C++ keywords in the LANGUAGE (not transliteration)
# script: Gurmukhi | iso639: pan | (C) 1993-2026 Abhishek Choudhary, GPL
native	romenagri_ascii7	c_construct
ਜੇ	jee	if
ਨਹੀਂਤਾਂ	nahii_ntaa_n	else
ਜਦਤੱਕ	jadatakka	while
ਕਰੋ	karau	do
ਲਈ	laii	for
ਰੋਕੋ	raukau	break
ਜਾਰੀ	jaarii	continue
ਚੋਣ	cau_na	switch
ਹਾਲਤ	haalata	case
ਮੂਲ	muula	default
ਵਾਪਸ	vaapasa	return
ਜਾਓ	jaaau	goto
ਅਚਲ	acala	const
ਪੂਰਨਅੰਕ	puurana_nka	int
ਦਸ਼ਮਲਵ	dashamalava	float
ਦੁੱਗਣਾ	duggsa_naa	double
ਅੱਖਰ	akkhara	char
ਖਾਲੀ	khaalii	void
ਵਰਗ	varga	class
ਨਵਾਂ	navaa_n	new
ਜਨਤਕ	janataka	public
ਨਿਜੀ	nijii	private
ਸੁਰੱਖਿਅਤ	surakkhiata	protected
ਸਥਿਰ	sathira	static
ਆਭਾਸੀ	aabhaasii	virtual
ਆਕਾਰ	aakaara	sizeof
ਬਣਤਰ	ba_natara	struct
ਸੰਘ	sa_ngha	union
ਗਿਣਤੀ	gi_natii	enum
ਕਿਸਮਪਰਿਭਾਸ਼ਾ	kisamaparibhaashaa	typedef
ਬਾਹਰੀ	baaharii	extern
