# saurashtra localized C keywords — projected from Devanagari hub (ILM Layer-1 inverse)
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL. FLAGGED-NOT-FAKED: PARTIAL rows need native review.
ꢪꢸꢓ꣄ꢫ	main	मुख्य	FULL
ꢦꢹꢬ꣄ꢠꢵꢀꢒ	int	पूर्णांक	FULL
ꢂꢒ꣄ꢰꢬ	char	अक्षर	FULL
ꢣ꣄ꢮꢶꢔꢸꢥ	double	द्विगुन	FULL
ꢮ꣄ꢫꣁꢪ	void	व्योम	FULL
ꢮꢵꢦꢱ	return	वापस	FULL
ꢒ꣄ꢬꢪ	for	क्रम	FULL
ꢂꢔꢬ	if	अगर	FULL
ꢂꢥ꣄ꢫꢢꢵ	else	अन्यथा	FULL
ꢙꢨꢡꢒ	while	जबतक	FULL
ꢒꢬꣁ	do	करो	FULL
ꢡꣁꢞ़ꣁ	break	तोड़ो	PARTIAL
ꢙꢵꢬꢷ	continue	जारी	FULL
ꢗꢸꢥꣁ	switch	चुनो	FULL
ꢲꢵꢭꢡ	case	हालत	FULL
ꢯ꣄ꢬꢾꢠꢷ	class	श्रेणी	FULL
ꢓꢸꢭꢵ	public	खुला	FULL
ꢨꢀꢣ	private	बंद	FULL
ꢩꢮ	virtual	भव	FULL
ꢱꢪꢵꢮꢾꢯ	include	समावेश	FULL
ꢕꣁꢰꢠꢵ	define	घोषणा	FULL
ꢂꢠꢸ	{	अणु	FULL
ꢦꢹꢬ꣄ꢠ	}	पूर्ण	FULL
ꢪ_ꢭꢶꢓꣁ	printf	म_लिखो	FULL
ꢪ_ꢦꢹꢘꣁ	scanf	म_पूछो	FULL
