# sharada localized C keywords — projected from Devanagari hub (ILM Layer-1 inverse)
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL. FLAGGED-NOT-FAKED: PARTIAL rows need native review.
𑆩𑆶𑆒𑇀𑆪	main	मुख्य	FULL
𑆥𑆷𑆫𑇀𑆟𑆳𑆁𑆑	int	पूर्णांक	FULL
𑆃𑆑𑇀𑆰𑆫	char	अक्षर	FULL
𑆢𑇀𑆮𑆴𑆓𑆶𑆤	double	द्विगुन	FULL
𑆮𑇀𑆪𑆾𑆩	void	व्योम	FULL
𑆮𑆳𑆥𑆱	return	वापस	FULL
𑆑𑇀𑆫𑆩	for	क्रम	FULL
𑆃𑆓𑆫	if	अगर	FULL
𑆃𑆤𑇀𑆪𑆡𑆳	else	अन्यथा	FULL
𑆘𑆧𑆠𑆑	while	जबतक	FULL
𑆑𑆫𑆾	do	करो	FULL
𑆠𑆾𑆝़𑆾	break	तोड़ो	PARTIAL
𑆘𑆳𑆫𑆵	continue	जारी	FULL
𑆖𑆶𑆤𑆾	switch	चुनो	FULL
𑆲𑆳𑆬𑆠	case	हालत	FULL
𑆯𑇀𑆫𑆼𑆟𑆵	class	श्रेणी	FULL
𑆒𑆶𑆬𑆳	public	खुला	FULL
𑆧𑆁𑆢	private	बंद	FULL
𑆨𑆮	virtual	भव	FULL
𑆱𑆩𑆳𑆮𑆼𑆯	include	समावेश	FULL
𑆔𑆾𑆰𑆟𑆳	define	घोषणा	FULL
𑆃𑆟𑆶	{	अणु	FULL
𑆥𑆷𑆫𑇀𑆟	}	पूर्ण	FULL
𑆩_𑆬𑆴𑆒𑆾	printf	म_लिखो	FULL
𑆩_𑆥𑆷𑆗𑆾	scanf	म_पूछो	FULL
