# siddham localized C keywords — projected from Devanagari hub (ILM Layer-1 inverse)
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL. FLAGGED-NOT-FAKED: PARTIAL rows need native review.
𑖦𑖲𑖏𑖿𑖧	main	मुख्य	FULL
𑖢𑖳𑖨𑖿𑖜𑖯𑖽𑖎	int	पूर्णांक	FULL
𑖀𑖎𑖿𑖬𑖨	char	अक्षर	FULL
𑖟𑖿𑖪𑖰𑖐𑖲𑖡	double	द्विगुन	FULL
𑖪𑖿𑖧𑖺𑖦	void	व्योम	FULL
𑖪𑖯𑖢𑖭	return	वापस	FULL
𑖎𑖿𑖨𑖦	for	क्रम	FULL
𑖀𑖐𑖨	if	अगर	FULL
𑖀𑖡𑖿𑖧𑖞𑖯	else	अन्यथा	FULL
𑖕𑖤𑖝𑖎	while	जबतक	FULL
𑖎𑖨𑖺	do	करो	FULL
𑖝𑖺𑖚़𑖺	break	तोड़ो	PARTIAL
𑖕𑖯𑖨𑖱	continue	जारी	FULL
𑖓𑖲𑖡𑖺	switch	चुनो	FULL
𑖮𑖯𑖩𑖝	case	हालत	FULL
𑖫𑖿𑖨𑖸𑖜𑖱	class	श्रेणी	FULL
𑖏𑖲𑖩𑖯	public	खुला	FULL
𑖤𑖽𑖟	private	बंद	FULL
𑖥𑖪	virtual	भव	FULL
𑖭𑖦𑖯𑖪𑖸𑖫	include	समावेश	FULL
𑖑𑖺𑖬𑖜𑖯	define	घोषणा	FULL
𑖀𑖜𑖲	{	अणु	FULL
𑖢𑖳𑖨𑖿𑖜	}	पूर्ण	FULL
𑖦_𑖩𑖰𑖏𑖺	printf	म_लिखो	FULL
𑖦_𑖢𑖳𑖔𑖺	scanf	म_पूछो	FULL
