# soyombo localized C keywords — projected from Devanagari hub (ILM Layer-1 inverse)
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL. FLAGGED-NOT-FAKED: PARTIAL rows need native review.
𑩴𑩓𑩝्𑩻	main	मुख्य	PARTIAL
𑩰ू𑩼्𑩪ा𑪖𑩜	int	पूर्णांक	PARTIAL
𑩐𑩜्𑪀𑩼	char	अक्षर	PARTIAL
𑩭्𑩾𑩑𑩞𑩓𑩯	double	द्विगुन	PARTIAL
𑩾्𑩻𑩕𑩴	void	व्योम	PARTIAL
𑩾ा𑩰𑪁	return	वापस	PARTIAL
𑩜्𑩼𑩴	for	क्रम	PARTIAL
𑩐𑩞𑩼	if	अगर	FULL
𑩐𑩯्𑩻𑩬ा	else	अन्यथा	PARTIAL
𑩣𑩲𑩫𑩜	while	जबतक	FULL
𑩜𑩼𑩕	do	करो	FULL
𑩫𑩕𑩨़𑩕	break	तोड़ो	PARTIAL
𑩣ा𑩼ी	continue	जारी	PARTIAL
𑩡𑩓𑩯𑩕	switch	चुनो	FULL
𑪂ा𑩽𑩫	case	हालत	PARTIAL
𑩿्𑩼𑩔𑩪ी	class	श्रेणी	PARTIAL
𑩝𑩓𑩽ा	public	खुला	PARTIAL
𑩲𑪖𑩭	private	बंद	FULL
𑩳𑩾	virtual	भव	FULL
𑪁𑩴ा𑩾𑩔𑩿	include	समावेश	PARTIAL
𑩟𑩕𑪀𑩪ा	define	घोषणा	PARTIAL
𑩐𑩪𑩓	{	अणु	FULL
𑩰ू𑩼्𑩪	}	पूर्ण	PARTIAL
𑩴_𑩽𑩑𑩝𑩕	printf	म_लिखो	FULL
𑩴_𑩰ू𑩢𑩕	scanf	म_पूछो	PARTIAL
