# tai_tham localized C keywords — projected from Devanagari hub (ILM Layer-1 inverse)
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL. FLAGGED-NOT-FAKED: PARTIAL rows need native review.
ᨾᩩख्य	main	मुख्य	PARTIAL
पᩪᩁ्णᩣंक	int	पूर्णांक	PARTIAL
ᩋक्षᩁ	char	अक्षर	PARTIAL
ᨯ्वᩥगᩩᨶ	double	द्विगुन	PARTIAL
व्यᩫᨾ	void	व्योम	PARTIAL
वᩣपस	return	वापस	PARTIAL
क्ᩁᨾ	for	क्रम	PARTIAL
ᩋगᩁ	if	अगर	PARTIAL
ᩋᨶ्यथᩣ	else	अन्यथा	PARTIAL
जᨷतक	while	जबतक	PARTIAL
कᩁᩫ	do	करो	PARTIAL
तᩫड़ᩫ	break	तोड़ो	PARTIAL
जᩣᩁᩦ	continue	जारी	PARTIAL
चᩩᨶᩫ	switch	चुनो	PARTIAL
हᩣᩃत	case	हालत	PARTIAL
श्ᩁᩮणᩦ	class	श्रेणी	PARTIAL
खᩩᩃᩣ	public	खुला	PARTIAL
ᨷंᨯ	private	बंद	PARTIAL
भव	virtual	भव	PARTIAL
सᨾᩣवᩮश	include	समावेश	PARTIAL
घᩫषणᩣ	define	घोषणा	PARTIAL
ᩋणᩩ	{	अणु	PARTIAL
पᩪᩁ्ण	}	पूर्ण	PARTIAL
ᨾ_ᩃᩥखᩫ	printf	म_लिखो	PARTIAL
ᨾ_पᩪछᩫ	scanf	म_पूछो	PARTIAL
