# takri localized C keywords — projected from Devanagari hub (ILM Layer-1 inverse)
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL. FLAGGED-NOT-FAKED: PARTIAL rows need native review.
𑚢𑚰𑚋𑚶𑚣	main	मुख्य	FULL
𑚞𑚱𑚤𑚶𑚘𑚭𑚫𑚊	int	पूर्णांक	FULL
𑚀𑚊𑚶ष𑚤	char	अक्षर	PARTIAL
𑚛𑚶𑚦𑚮𑚌𑚰𑚝	double	द्विगुन	FULL
𑚦𑚶𑚣𑚴𑚢	void	व्योम	FULL
𑚦𑚭𑚞𑚨	return	वापस	FULL
𑚊𑚶𑚤𑚢	for	क्रम	FULL
𑚀𑚌𑚤	if	अगर	FULL
𑚀𑚝𑚶𑚣𑚚𑚭	else	अन्यथा	FULL
𑚑𑚠𑚙𑚊	while	जबतक	FULL
𑚊𑚤𑚴	do	करो	FULL
𑚙𑚴𑚖़𑚴	break	तोड़ो	PARTIAL
𑚑𑚭𑚤𑚯	continue	जारी	FULL
𑚏𑚰𑚝𑚴	switch	चुनो	FULL
𑚩𑚭𑚥𑚙	case	हालत	FULL
𑚧𑚶𑚤𑚲𑚘𑚯	class	श्रेणी	FULL
𑚋𑚰𑚥𑚭	public	खुला	FULL
𑚠𑚫𑚛	private	बंद	FULL
𑚡𑚦	virtual	भव	FULL
𑚨𑚢𑚭𑚦𑚲𑚧	include	समावेश	FULL
𑚍𑚴ष𑚘𑚭	define	घोषणा	PARTIAL
𑚀𑚘𑚰	{	अणु	FULL
𑚞𑚱𑚤𑚶𑚘	}	पूर्ण	FULL
𑚢_𑚥𑚮𑚋𑚴	printf	म_लिखो	FULL
𑚢_𑚞𑚱𑚐𑚴	scanf	म_पूछो	FULL
