# tamil localized C keywords — projected from Devanagari hub (ILM Layer-1 inverse)
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL. FLAGGED-NOT-FAKED: PARTIAL rows need native review.
முख்ய	main	मुख्य	PARTIAL
பூர்ணாஂக	int	पूर्णांक	FULL
அக்ஷர	char	अक्षर	FULL
द்விगுந	double	द्विगुन	PARTIAL
வ்யொம	void	व्योम	FULL
வாபஸ	return	वापस	FULL
க்ரம	for	क्रम	FULL
அगர	if	अगर	PARTIAL
அந்யथா	else	अन्यथा	PARTIAL
ஜबதக	while	जबतक	PARTIAL
கரொ	do	करो	FULL
தொड़ொ	break	तोड़ो	PARTIAL
ஜாரீ	continue	जारी	FULL
சுநொ	switch	चुनो	FULL
ஹாலத	case	हालत	FULL
ஶ்ரெணீ	class	श्रेणी	FULL
खுலா	public	खुला	PARTIAL
बஂद	private	बंद	PARTIAL
भவ	virtual	भव	PARTIAL
ஸமாவெஶ	include	समावेश	FULL
घொஷணா	define	घोषणा	PARTIAL
அணு	{	अणु	FULL
பூர்ண	}	पूर्ण	FULL
ம_லிखொ	printf	म_लिखो	PARTIAL
ம_பூछொ	scanf	म_पूछो	PARTIAL
