# Telugu — C/C++ keywords in the LANGUAGE (not transliteration)
# script: Telugu | iso639: tel | (C) 1993-2026 Abhishek Choudhary, GPL
native	romenagri_ascii7	c_construct
ఒకవేళ	okaveela	if
లేకపోతే	leekapootee	else
వరకు	varaku	while
చేయి	ceeyi	do
కొరకు	koraku	for
ఆపు	aapu	break
కొనసాగు	konasaagu	continue
ఎంపిక	empika	switch
స్థితి	sthiti	case
అప్రమేయ	aprameeya	default
తిరిగి	tirigi	return
వెళ్ళు	vellu	goto
స్థిరరాశి	sthiraraashi	const
పూర్ణాంకం	puur_naa_nka_m	int
దశాంశం	dashaa_msha_m	float
ద్విగుణ	dvigu_na	double
అక్షరం	ak_sara_m	char
శూన్య	shuunya	void
తరగతి	taragati	class
కొత్త	kotta	new
బహిరంగ	bahira_nga	public
అంతరంగ	a_ntara_nga	private
రక్షిత	rak_sita	protected
స్థిర	sthira	static
మాయా	maayaa	virtual
పరిమాణం	parimaa_na_m	sizeof
నిర్మాణం	nirmaa_na_m	struct
సంఘం	sa_ngha_m	union
గణన	ga_nana	enum
రకనిర్వచనం	rakanirvacana_m	typedef
బాహ్య	baahya	extern
