# telugu localized C keywords — projected from Devanagari hub (ILM Layer-1 inverse)
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL. FLAGGED-NOT-FAKED: PARTIAL rows need native review.
ముఖ్య	main	मुख्य	FULL
పూర్ణాంక	int	पूर्णांक	FULL
అక్షర	char	अक्षर	FULL
ద్విగున	double	द्विगुन	FULL
వ్యొమ	void	व्योम	FULL
వాపస	return	वापस	FULL
క్రమ	for	क्रम	FULL
అగర	if	अगर	FULL
అన్యథా	else	अन्यथा	FULL
జబతక	while	जबतक	FULL
కరొ	do	करो	FULL
తొడ़ొ	break	तोड़ो	PARTIAL
జారీ	continue	जारी	FULL
చునొ	switch	चुनो	FULL
హాలత	case	हालत	FULL
శ్రెణీ	class	श्रेणी	FULL
ఖులా	public	खुला	FULL
బంద	private	बंद	FULL
భవ	virtual	भव	FULL
సమావెశ	include	समावेश	FULL
ఘొషణా	define	घोषणा	FULL
అణు	{	अणु	FULL
పూర్ణ	}	पूर्ण	FULL
మ_లిఖొ	printf	म_लिखो	FULL
మ_పూఛొ	scanf	म_पूछो	FULL
