# tibetan localized C keywords — projected from Devanagari hub (ILM Layer-1 inverse)
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL. FLAGGED-NOT-FAKED: PARTIAL rows need native review.
མུཁ्ཡ	main	मुख्य	PARTIAL
པཱུར्ཎཱंཀ	int	पूर्णांक	PARTIAL
ཨཀ्ཥར	char	अक्षर	PARTIAL
ད्वིགུན	double	द्विगुन	PARTIAL
व्ཡོམ	void	व्योम	PARTIAL
वཱཔས	return	वापस	PARTIAL
ཀ्རམ	for	क्रम	PARTIAL
ཨགར	if	अगर	FULL
ཨན्ཡཐཱ	else	अन्यथा	PARTIAL
ཇབཏཀ	while	जबतक	FULL
ཀརོ	do	करो	FULL
ཏོཌ़ོ	break	तोड़ो	PARTIAL
ཇཱརཱི	continue	जारी	FULL
ཅུནོ	switch	चुनो	FULL
ཧཱལཏ	case	हालत	FULL
ཤ्རེཎཱི	class	श्रेणी	PARTIAL
ཁུལཱ	public	खुला	FULL
བंད	private	बंद	PARTIAL
བྷव	virtual	भव	PARTIAL
སམཱवེཤ	include	समावेश	PARTIAL
གྷོཥཎཱ	define	घोषणा	FULL
ཨཎུ	{	अणु	FULL
པཱུར्ཎ	}	पूर्ण	PARTIAL
མ_ལིཁོ	printf	म_लिखो	FULL
མ_པཱུཆོ	scanf	म_पूछो	FULL
