# tirhuta localized C keywords — projected from Devanagari hub (ILM Layer-1 inverse)
# Copyright (C) 1993-2026 Abhishek Choudhary. GPL. FLAGGED-NOT-FAKED: PARTIAL rows need native review.
𑒧𑒳𑒐𑓂𑒨	main	मुख्य	FULL
𑒣𑒴𑒩𑓂𑒝𑒰𑓀𑒏	int	पूर्णांक	FULL
𑒁𑒏𑓂𑒭𑒩	char	अक्षर	FULL
𑒠𑓂𑒫𑒱𑒑𑒳𑒢	double	द्विगुन	FULL
𑒫𑓂𑒨𑒼𑒧	void	व्योम	FULL
𑒫𑒰𑒣𑒮	return	वापस	FULL
𑒏𑓂𑒩𑒧	for	क्रम	FULL
𑒁𑒑𑒩	if	अगर	FULL
𑒁𑒢𑓂𑒨𑒟𑒰	else	अन्यथा	FULL
𑒖𑒥𑒞𑒏	while	जबतक	FULL
𑒏𑒩𑒼	do	करो	FULL
𑒞𑒼𑒛़𑒼	break	तोड़ो	PARTIAL
𑒖𑒰𑒩𑒲	continue	जारी	FULL
𑒔𑒳𑒢𑒼	switch	चुनो	FULL
𑒯𑒰𑒪𑒞	case	हालत	FULL
𑒬𑓂𑒩𑒹𑒝𑒲	class	श्रेणी	FULL
𑒐𑒳𑒪𑒰	public	खुला	FULL
𑒥𑓀𑒠	private	बंद	FULL
𑒦𑒫	virtual	भव	FULL
𑒮𑒧𑒰𑒫𑒹𑒬	include	समावेश	FULL
𑒒𑒼𑒭𑒝𑒰	define	घोषणा	FULL
𑒁𑒝𑒳	{	अणु	FULL
𑒣𑒴𑒩𑓂𑒝	}	पूर्ण	FULL
𑒧_𑒪𑒱𑒐𑒼	printf	म_लिखो	FULL
𑒧_𑒣𑒴𑒕𑒼	scanf	म_पूछो	FULL
