# keyword_ontology.csv
# The canonical programming-construct ontology.
# Each row = one universal programming construct, grouped by paradigm.
# Columns: construct_id, paradigm, english_keyword, category, semantic_note
# Copyright (c) 1993-2026 Abhishek Choudhary
#
# This is the LANGUAGE-INDEPENDENT layer. Per-human-language keyword
# tables (data/lang_*.csv) supply the localized keyword for each construct_id.
#
construct_id,paradigm,english_keyword,category,semantic_note
# ---- IMPERATIVE / STRUCTURED ----
KW_IF,imperative,if,control_flow,conditional branch
KW_ELSE,imperative,else,control_flow,alternative branch
KW_ELIF,imperative,elif,control_flow,else-if chain
KW_WHILE,imperative,while,control_flow,pre-test loop
KW_DO,imperative,do,control_flow,post-test loop body
KW_FOR,imperative,for,control_flow,counted/iterator loop
KW_BREAK,imperative,break,control_flow,exit loop
KW_CONTINUE,imperative,continue,control_flow,skip to next iteration
KW_SWITCH,imperative,switch,control_flow,multi-way branch
KW_CASE,imperative,case,control_flow,branch label
KW_DEFAULT,imperative,default,control_flow,fallthrough label
KW_RETURN,imperative,return,control_flow,return from subroutine
KW_GOTO,imperative,goto,control_flow,unconditional jump
# ---- DECLARATIONS / TYPES ----
KW_VAR,imperative,var,declaration,mutable variable
KW_CONST,imperative,const,declaration,immutable binding
KW_LET,imperative,let,declaration,scoped binding
KW_INT,imperative,int,type,integer type
KW_FLOAT,imperative,float,type,floating-point type
KW_DOUBLE,imperative,double,type,double-precision type
KW_CHAR,imperative,char,type,character type
KW_BOOL,imperative,bool,type,boolean type
KW_STRING,imperative,string,type,string type
KW_VOID,imperative,void,type,no-value type
KW_TRUE,imperative,true,literal,boolean true
KW_FALSE,imperative,false,literal,boolean false
KW_NULL,imperative,null,literal,null/none value
# ---- FUNCTIONS / PROCEDURAL ----
KW_FUNC,procedural,function,subroutine,function definition
KW_PROC,procedural,procedure,subroutine,procedure definition
KW_CALL,procedural,call,subroutine,invoke subroutine
KW_PARAM,procedural,param,subroutine,parameter declaration
KW_LAMBDA,functional,lambda,function,anonymous function
KW_YIELD,procedural,yield,coroutine,generator yield
KW_AWAIT,procedural,await,async,await async result
KW_ASYNC,procedural,async,async,async marker
# ---- OBJECT-ORIENTED ----
KW_CLASS,oop,class,type_def,class definition
KW_OBJECT,oop,object,type_def,object/singleton
KW_INTERFACE,oop,interface,type_def,interface/protocol
KW_EXTENDS,oop,extends,inheritance,subclass relation
KW_IMPLEMENTS,oop,implements,inheritance,interface realisation
KW_NEW,oop,new,instantiation,object construction
KW_THIS,oop,this,reference,self reference
KW_SUPER,oop,super,reference,parent reference
KW_PUBLIC,oop,public,access,public visibility
KW_PRIVATE,oop,private,access,private visibility
KW_PROTECTED,oop,protected,access,protected visibility
KW_STATIC,oop,static,storage,class-level member
KW_ABSTRACT,oop,abstract,modifier,abstract member
KW_VIRTUAL,oop,virtual,modifier,overridable member
KW_OVERRIDE,oop,override,modifier,override parent
# ---- FUNCTIONAL ----
KW_MATCH,functional,match,pattern,pattern match
KW_WHEN,functional,when,pattern,guard clause
KW_FUN,functional,fun,function,functional def
KW_REC,functional,rec,recursion,recursive binding
KW_IN,functional,in,binding,let-in scope
KW_WHERE,functional,where,binding,where clause
KW_DATA,functional,data,type_def,algebraic data type
KW_TYPE,functional,type,type_def,type alias
KW_MODULE,functional,module,namespace,module definition
# ---- LOGIC / DECLARATIVE ----
KW_RULE,logic,rule,clause,inference rule
KW_FACT,logic,fact,clause,asserted fact
KW_QUERY,logic,query,clause,goal query
KW_NOT,logic,not,operator,negation
KW_AND,logic,and,operator,conjunction
KW_OR,logic,or,operator,disjunction
# ---- CONCURRENT ----
KW_THREAD,concurrent,thread,concurrency,thread of execution
KW_SPAWN,concurrent,spawn,concurrency,spawn process
KW_LOCK,concurrent,lock,concurrency,mutual exclusion
KW_SYNC,concurrent,synchronized,concurrency,synchronized block
KW_CHANNEL,concurrent,channel,concurrency,message channel
KW_SELECT,concurrent,select,concurrency,channel select
# ---- MEMORY / SYSTEMS ----
KW_PTR,systems,pointer,memory,pointer type
KW_REF,systems,ref,memory,reference
