# language_name: Assamese
# code: assamese
# iso639: asm
# script: Assamese (Bengali-Assamese)
# speakers: 23 million
construct_id,native_keyword,romenagri,note
KW_IF,যদি,yadi,if
KW_ELSE,অন্যথা,anyathaa,else
KW_ELIF,নোচেদ্যদি,naucheedyadi,tatsama<sanskrit
KW_WHILE,যেতিয়ালৈ,yeetiyaalai,while
KW_DO,কৰা,karaa,do
KW_FOR,বাবে,baabee,for
KW_BREAK,ভঙ্গ,bha_nga,tatsama<sanskrit
KW_CONTINUE,অনু঵র্ত,anuvarta,tatsama<sanskrit
KW_SWITCH,঵িকল্প,vikalpa,tatsama<sanskrit
KW_CASE,পক্ষ,pak_sa,tatsama<sanskrit
KW_DEFAULT,স্঵ভা঵,svabhaava,tatsama<sanskrit
KW_RETURN,ঘূৰাই,ghuuraai,return
KW_GOTO,গচ্ছ,gaccha,tatsama<sanskrit
KW_VAR,চর,cara,tatsama<sanskrit
KW_CONST,ধ্রু঵,dhruva,tatsama<sanskrit
KW_LET,অস্তু,astu,tatsama<sanskrit
KW_INT,পূর্ণাঙ্ক,puur_naa_nka,tatsama<sanskrit
KW_FLOAT,ভিন্ন,bhinna,tatsama<sanskrit
KW_DOUBLE,দ্঵িগুণ,dviguu_na,tatsama<sanskrit
KW_CHAR,঵র্ণ,var_na,tatsama<sanskrit
KW_BOOL,তার্কিক,taarkika,tatsama<sanskrit
KW_STRING,পদা঵লী,padaavalii,tatsama<sanskrit
KW_VOID,শূন্য,shuunya,tatsama<sanskrit
KW_TRUE,সঁচা,sa_ncaa,true
KW_FALSE,মিছা,michaa,false
KW_NULL,রিক্ত,rikta,tatsama<sanskrit
KW_FUNC,কাৰ্য,kaarya,function
KW_PROC,঵িধি,vidhi,tatsama<sanskrit
KW_CALL,আহ্঵ান,aahvaana,tatsama<sanskrit
KW_PARAM,প্রাচল,praacala,tatsama<sanskrit
KW_LAMBDA,অনামন্,anaaman,tatsama<sanskrit
KW_YIELD,দা,daa,tatsama<sanskrit
KW_AWAIT,প্রতীক্ষ,pratiik_sa,tatsama<sanskrit
KW_ASYNC,অসমকাল,asamakaala,tatsama<sanskrit
KW_CLASS,শ্ৰেণী,shree_nii,class
KW_OBJECT,঵স্তু,vastu,tatsama<sanskrit
KW_INTERFACE,সন্ধি,sandhi,tatsama<sanskrit
KW_EXTENDS,঵িস্তৃত,vistr_ta,tatsama<sanskrit
KW_IMPLEMENTS,নিষ্পাদিত,ni_spaadita,tatsama<sanskrit
KW_NEW,নূতন,nuutana,tatsama<sanskrit
KW_THIS,এতত্,eetat,tatsama<sanskrit
KW_SUPER,পর,para,tatsama<sanskrit
KW_PUBLIC,সার্঵জনিক,saarvajanika,tatsama<sanskrit
KW_PRIVATE,গুপ্ত,gupta,tatsama<sanskrit
KW_PROTECTED,রক্ষিত,rak_sita,tatsama<sanskrit
KW_STATIC,স্থির,sthira,tatsama<sanskrit
KW_ABSTRACT,অমূর্ত,amuurta,tatsama<sanskrit
KW_VIRTUAL,আভাস,aabhaasa,tatsama<sanskrit
KW_OVERRIDE,অধিরোহ,adhirauha,tatsama<sanskrit
KW_MATCH,মেল,meela,tatsama<sanskrit
KW_WHEN,যদা,yadaa,tatsama<sanskrit
KW_FUN,ফল,phala,tatsama<sanskrit
KW_REC,পুনরা঵ৃত্ত,punaraavr_tta,tatsama<sanskrit
KW_IN,অন্তঃ,anta_h,tatsama<sanskrit
KW_WHERE,যত্র,yatra,tatsama<sanskrit
KW_DATA,দত্ত,datta,tatsama<sanskrit
KW_TYPE,প্রকার,prakaara,tatsama<sanskrit
KW_MODULE,খণ্ড,kha_nda,tatsama<sanskrit
KW_RULE,সূত্র,suutra,tatsama<sanskrit
KW_FACT,তথ্য,tathya,tatsama<sanskrit
KW_QUERY,প্রশ্ন,prashna,tatsama<sanskrit
KW_NOT,নহয়,nahaya,not
KW_AND,আৰু,aaru,and
KW_OR,বা,baa,or
KW_THREAD,তন্তু,tantu,tatsama<sanskrit
KW_SPAWN,উত্পাদ,utpaada,tatsama<sanskrit
KW_LOCK,তালক,taalaka,tatsama<sanskrit
KW_SYNC,সমকাল,samakaala,tatsama<sanskrit
KW_CHANNEL,মার্গ,maarga,tatsama<sanskrit
KW_SELECT,঵ৃণু,vr_nu,tatsama<sanskrit
KW_PTR,নির্দেশক,nirdeeshaka,tatsama<sanskrit
KW_REF,সন্দর্ভ,sandarbha,tatsama<sanskrit
KW_ALLOC,আ঵ণ্টন,aava_ntana,tatsama<sanskrit
KW_FREE,মুক্ত,mukta,tatsama<sanskrit
KW_SIZEOF,পরিমাণ,parimaa_na,tatsama<sanskrit
KW_STRUCT,সংরচনা,sa_nracanaa,tatsama<sanskrit
KW_UNION,সঙ্ঘ,sa_ngha,tatsama<sanskrit
KW_ENUM,গণনা,ga_nanaa,tatsama<sanskrit
KW_TYPEDEF,প্রকারনির্দেশ,prakaaranirdeesha,tatsama<sanskrit
KW_VOLATILE,চঞ্চল,ca_ncala,tatsama<sanskrit
KW_REGISTER,পঞ্জিকা,pa_njikaa,tatsama<sanskrit
KW_EXTERN,বাহ্য,baahya,tatsama<sanskrit
KW_INLINE,অন্তঃস্থ,anta_hstha,tatsama<sanskrit
KW_ENTITY,সত্তা,sattaa,tatsama<sanskrit
KW_ARCH,স্থাপত্য,sthaapatya,tatsama<sanskrit
KW_SIGNAL,সঙ্কেত,sa_nkeeta,tatsama<sanskrit
KW_PORT,দ্঵ার,dvaara,tatsama<sanskrit
KW_WIRE,তন্তু,tantu,tatsama<sanskrit
KW_REG,পঞ্জী,pa_njii,tatsama<sanskrit
KW_MODULE_HW,অংশ,a_nsha,tatsama<sanskrit
KW_ALWAYS,সদা,sadaa,tatsama<sanskrit
KW_ASSIGN,নিযুক্ত,niyukta,tatsama<sanskrit
KW_BEGIN,আৰম্ভ,aarambha,begin
KW_END,শেষ,sheesa,end
KW_TRY,যত্ন,yatna,tatsama<sanskrit
