# language_name: Balinese
# code: balinese
# iso639: ban
# script: Balinese
# speakers: 3.3M
construct_id,native_keyword,romenagri,note
KW_IF,yadi,yadi,romenagri_pending_balinese
KW_ELSE,anyathaa,anyathaa,romenagri_pending_balinese
KW_ELIF,naucheedyadi,naucheedyadi,romenagri_pending_balinese
KW_WHILE,yaavat,yaavat,romenagri_pending_balinese
KW_DO,kuru,kuru,romenagri_pending_balinese
KW_FOR,prati,prati,romenagri_pending_balinese
KW_BREAK,bha_nga,bha_nga,romenagri_pending_balinese
KW_CONTINUE,anuvarta,anuvarta,romenagri_pending_balinese
KW_SWITCH,vikalpa,vikalpa,romenagri_pending_balinese
KW_CASE,pak_sa,pak_sa,romenagri_pending_balinese
KW_DEFAULT,svabhaava,svabhaava,romenagri_pending_balinese
KW_RETURN,pratyaagama,pratyaagama,romenagri_pending_balinese
KW_GOTO,gaccha,gaccha,romenagri_pending_balinese
KW_VAR,cara,cara,romenagri_pending_balinese
KW_CONST,dhruva,dhruva,romenagri_pending_balinese
KW_LET,astu,astu,romenagri_pending_balinese
KW_INT,puur_naa_nka,puur_naa_nka,romenagri_pending_balinese
KW_FLOAT,bhinna,bhinna,romenagri_pending_balinese
KW_DOUBLE,dviguu_na,dviguu_na,romenagri_pending_balinese
KW_CHAR,var_na,var_na,romenagri_pending_balinese
KW_BOOL,taarkika,taarkika,romenagri_pending_balinese
KW_STRING,padaavalii,padaavalii,romenagri_pending_balinese
KW_VOID,shuunya,shuunya,romenagri_pending_balinese
KW_TRUE,satya,satya,romenagri_pending_balinese
KW_FALSE,asatya,asatya,romenagri_pending_balinese
KW_NULL,rikta,rikta,romenagri_pending_balinese
KW_FUNC,kriyaa,kriyaa,romenagri_pending_balinese
KW_PROC,vidhi,vidhi,romenagri_pending_balinese
KW_CALL,aahvaana,aahvaana,romenagri_pending_balinese
KW_PARAM,praacala,praacala,romenagri_pending_balinese
KW_LAMBDA,anaaman,anaaman,romenagri_pending_balinese
KW_YIELD,daa,daa,romenagri_pending_balinese
KW_AWAIT,pratiik_sa,pratiik_sa,romenagri_pending_balinese
KW_ASYNC,asamakaala,asamakaala,romenagri_pending_balinese
KW_CLASS,varga,varga,romenagri_pending_balinese
KW_OBJECT,vastu,vastu,romenagri_pending_balinese
KW_INTERFACE,sandhi,sandhi,romenagri_pending_balinese
KW_EXTENDS,vistr_ta,vistr_ta,romenagri_pending_balinese
KW_IMPLEMENTS,ni_spaadita,ni_spaadita,romenagri_pending_balinese
KW_NEW,nuutana,nuutana,romenagri_pending_balinese
KW_THIS,eetat,eetat,romenagri_pending_balinese
KW_SUPER,para,para,romenagri_pending_balinese
KW_PUBLIC,saarvajanika,saarvajanika,romenagri_pending_balinese
KW_PRIVATE,gupta,gupta,romenagri_pending_balinese
KW_PROTECTED,rak_sita,rak_sita,romenagri_pending_balinese
KW_STATIC,sthira,sthira,romenagri_pending_balinese
KW_ABSTRACT,amuurta,amuurta,romenagri_pending_balinese
KW_VIRTUAL,aabhaasa,aabhaasa,romenagri_pending_balinese
KW_OVERRIDE,adhirauha,adhirauha,romenagri_pending_balinese
KW_MATCH,meela,meela,romenagri_pending_balinese
KW_WHEN,yadaa,yadaa,romenagri_pending_balinese
