# language_name: Burmese
# code: burmese
# iso639: mya
# script: Myanmar
# speakers: 33M
construct_id,native_keyword,romenagri,note
KW_IF,yadi,yadi,romenagri_pending_myanmar
KW_ELSE,anyathaa,anyathaa,romenagri_pending_myanmar
KW_ELIF,naucheedyadi,naucheedyadi,romenagri_pending_myanmar
KW_WHILE,yaavat,yaavat,romenagri_pending_myanmar
KW_DO,kuru,kuru,romenagri_pending_myanmar
KW_FOR,prati,prati,romenagri_pending_myanmar
KW_BREAK,bha_nga,bha_nga,romenagri_pending_myanmar
KW_CONTINUE,anuvarta,anuvarta,romenagri_pending_myanmar
KW_SWITCH,vikalpa,vikalpa,romenagri_pending_myanmar
KW_CASE,pak_sa,pak_sa,romenagri_pending_myanmar
KW_DEFAULT,svabhaava,svabhaava,romenagri_pending_myanmar
KW_RETURN,pratyaagama,pratyaagama,romenagri_pending_myanmar
KW_GOTO,gaccha,gaccha,romenagri_pending_myanmar
KW_VAR,cara,cara,romenagri_pending_myanmar
KW_CONST,dhruva,dhruva,romenagri_pending_myanmar
KW_LET,astu,astu,romenagri_pending_myanmar
KW_INT,puur_naa_nka,puur_naa_nka,romenagri_pending_myanmar
KW_FLOAT,bhinna,bhinna,romenagri_pending_myanmar
KW_DOUBLE,dviguu_na,dviguu_na,romenagri_pending_myanmar
KW_CHAR,var_na,var_na,romenagri_pending_myanmar
KW_BOOL,taarkika,taarkika,romenagri_pending_myanmar
KW_STRING,padaavalii,padaavalii,romenagri_pending_myanmar
KW_VOID,shuunya,shuunya,romenagri_pending_myanmar
KW_TRUE,satya,satya,romenagri_pending_myanmar
KW_FALSE,asatya,asatya,romenagri_pending_myanmar
KW_NULL,rikta,rikta,romenagri_pending_myanmar
KW_FUNC,kriyaa,kriyaa,romenagri_pending_myanmar
KW_PROC,vidhi,vidhi,romenagri_pending_myanmar
KW_CALL,aahvaana,aahvaana,romenagri_pending_myanmar
KW_PARAM,praacala,praacala,romenagri_pending_myanmar
KW_LAMBDA,anaaman,anaaman,romenagri_pending_myanmar
KW_YIELD,daa,daa,romenagri_pending_myanmar
KW_AWAIT,pratiik_sa,pratiik_sa,romenagri_pending_myanmar
KW_ASYNC,asamakaala,asamakaala,romenagri_pending_myanmar
KW_CLASS,varga,varga,romenagri_pending_myanmar
KW_OBJECT,vastu,vastu,romenagri_pending_myanmar
KW_INTERFACE,sandhi,sandhi,romenagri_pending_myanmar
KW_EXTENDS,vistr_ta,vistr_ta,romenagri_pending_myanmar
KW_IMPLEMENTS,ni_spaadita,ni_spaadita,romenagri_pending_myanmar
KW_NEW,nuutana,nuutana,romenagri_pending_myanmar
KW_THIS,eetat,eetat,romenagri_pending_myanmar
KW_SUPER,para,para,romenagri_pending_myanmar
KW_PUBLIC,saarvajanika,saarvajanika,romenagri_pending_myanmar
KW_PRIVATE,gupta,gupta,romenagri_pending_myanmar
KW_PROTECTED,rak_sita,rak_sita,romenagri_pending_myanmar
KW_STATIC,sthira,sthira,romenagri_pending_myanmar
KW_ABSTRACT,amuurta,amuurta,romenagri_pending_myanmar
KW_VIRTUAL,aabhaasa,aabhaasa,romenagri_pending_myanmar
KW_OVERRIDE,adhirauha,adhirauha,romenagri_pending_myanmar
KW_MATCH,meela,meela,romenagri_pending_myanmar
KW_WHEN,yadaa,yadaa,romenagri_pending_myanmar
KW_FUN,phala,phala,romenagri_pending_myanmar
KW_REC,punaraavr_tta,punaraavr_tta,romenagri_pending_myanmar
KW_IN,anta_h,anta_h,romenagri_pending_myanmar
KW_WHERE,yatra,yatra,romenagri_pending_myanmar
KW_DATA,datta,datta,romenagri_pending_myanmar
KW_TYPE,prakaara,prakaara,romenagri_pending_myanmar
KW_MODULE,kha_nda,kha_nda,romenagri_pending_myanmar
KW_RULE,suutra,suutra,romenagri_pending_myanmar
KW_FACT,tathya,tathya,romenagri_pending_myanmar
KW_QUERY,prashna,prashna,romenagri_pending_myanmar
KW_NOT,na,na,romenagri_pending_myanmar
KW_AND,ca,ca,romenagri_pending_myanmar
KW_OR,vaa,vaa,romenagri_pending_myanmar
KW_THREAD,tantu,tantu,romenagri_pending_myanmar
KW_SPAWN,utpaada,utpaada,romenagri_pending_myanmar
KW_LOCK,taalaka,taalaka,romenagri_pending_myanmar
KW_SYNC,samakaala,samakaala,romenagri_pending_myanmar
KW_CHANNEL,maarga,maarga,romenagri_pending_myanmar
KW_SELECT,vr_nu,vr_nu,romenagri_pending_myanmar
KW_PTR,nirdeeshaka,nirdeeshaka,romenagri_pending_myanmar
KW_REF,sandarbha,sandarbha,romenagri_pending_myanmar
KW_ALLOC,aava_ntana,aava_ntana,romenagri_pending_myanmar
KW_FREE,mukta,mukta,romenagri_pending_myanmar
KW_SIZEOF,parimaa_na,parimaa_na,romenagri_pending_myanmar
KW_STRUCT,sa_nracanaa,sa_nracanaa,romenagri_pending_myanmar
KW_UNION,sa_ngha,sa_ngha,romenagri_pending_myanmar
KW_ENUM,ga_nanaa,ga_nanaa,romenagri_pending_myanmar
KW_TYPEDEF,prakaaranirdeesha,prakaaranirdeesha,romenagri_pending_myanmar
KW_VOLATILE,ca_ncala,ca_ncala,romenagri_pending_myanmar
KW_REGISTER,pa_njikaa,pa_njikaa,romenagri_pending_myanmar
KW_EXTERN,baahya,baahya,romenagri_pending_myanmar
KW_INLINE,anta_hstha,anta_hstha,romenagri_pending_myanmar
KW_ENTITY,sattaa,sattaa,romenagri_pending_myanmar
KW_ARCH,sthaapatya,sthaapatya,romenagri_pending_myanmar
KW_SIGNAL,sa_nkeeta,sa_nkeeta,romenagri_pending_myanmar
KW_PORT,dvaara,dvaara,romenagri_pending_myanmar
KW_WIRE,tantu,tantu,romenagri_pending_myanmar
KW_REG,pa_njii,pa_njii,romenagri_pending_myanmar
KW_MODULE_HW,a_nsha,a_nsha,romenagri_pending_myanmar
KW_ALWAYS,sadaa,sadaa,romenagri_pending_myanmar
KW_ASSIGN,niyukta,niyukta,romenagri_pending_myanmar
KW_BEGIN,aarambha,aarambha,romenagri_pending_myanmar
KW_END,anta,anta,romenagri_pending_myanmar
KW_TRY,yatna,yatna,romenagri_pending_myanmar
KW_CATCH,gr_haa_na,gr_haa_na,romenagri_pending_myanmar
KW_FINALLY,antata_h,antata_h,romenagri_pending_myanmar
KW_THROW,k_sipa,k_sipa,romenagri_pending_myanmar
KW_RAISE,utthaapaya,utthaapaya,romenagri_pending_myanmar
KW_EXCEPT,apavaada,apavaada,romenagri_pending_myanmar
KW_IMPORT,aanayana,aanayana,romenagri_pending_myanmar
KW_EXPORT,niryaapa_na,niryaapa_na,romenagri_pending_myanmar
KW_PACKAGE,putaka,putaka,romenagri_pending_myanmar
KW_NAMESPACE,naamaakaasha,naamaakaasha,romenagri_pending_myanmar
KW_USE,upayauga,upayauga,romenagri_pending_myanmar
KW_INCLUDE,antarbhaava,antarbhaava,romenagri_pending_myanmar
KW_FROM,ta_h,ta_h,romenagri_pending_myanmar
KW_AS,iva,iva,romenagri_pending_myanmar
KW_KERNEL,biija,biija,romenagri_pending_myanmar
KW_DEVICE,yantra,yantra,romenagri_pending_myanmar
KW_HOST,aatitheeya,aatitheeya,romenagri_pending_myanmar
