# language_name: Hindi
# code: hindi
# iso639: hin
# script: Devanagari
# speakers: 600 million
construct_id,native_keyword,romenagri,note
KW_IF,यदि,yadi,if
KW_ELSE,अन्यथा,anyathaa,else
KW_ELIF,अथवा_यदि,athavaa_yadi,elif
KW_WHILE,जबतक,jabataka,while
KW_DO,करो,karau,do
KW_FOR,हेतु,heetu,for
KW_BREAK,विराम,viraama,break
KW_CONTINUE,जारी,jaarii,continue
KW_SWITCH,चयन,cayana,switch
KW_CASE,स्थिति,sthiti,case
KW_DEFAULT,मूल,muula,default
KW_RETURN,लौटाओ,lautaaau,return
KW_GOTO,जाओ,jaaau,goto
KW_VAR,चर,cara,var
KW_CONST,अचर,acara,const
KW_LET,मानो,maanau,let
KW_INT,पूर्णांक,puur_naa_nka,int
KW_FLOAT,दशमलव,dashamalava,float
KW_DOUBLE,द्विगुण,dviguu_na,double
KW_CHAR,अक्षर,ak_sara,char
KW_BOOL,तार्किक,taarkika,bool
KW_STRING,वाक्य,vaakya,string
KW_VOID,शून्य,shuunya,void
KW_TRUE,सत्य,satya,true
KW_FALSE,असत्य,asatya,false
KW_NULL,रिक्त,rikta,null
KW_FUNC,कृत्य,kr_tya,function
KW_PROC,प्रक्रिया,prakriyaa,procedure
KW_CALL,बुलाओ,bulaaau,call
KW_PARAM,प्राचल,praacala,param
KW_LAMBDA,अनाम,anaama,lambda
KW_YIELD,प्रदान,pradaana,yield
KW_AWAIT,प्रतीक्षा,pratiik_saa,await
KW_ASYNC,अतुल्यकाल,atulyakaala,async
KW_CLASS,वर्ग,varga,class
KW_OBJECT,वस्तु,vastu,object
KW_INTERFACE,अन्तरफलक,antaraphalaka,interface
KW_EXTENDS,विस्तारित,vistaarita,extends
KW_IMPLEMENTS,कार्यान्वित,kaaryaanvita,implements
KW_NEW,नवीन,naviina,new
KW_THIS,यह,yaha,this
KW_SUPER,परम,parama,super
KW_PUBLIC,सार्वजनिक,saarvajanika,public
KW_PRIVATE,निजी,nijii,private
KW_PROTECTED,संरक्षित,sa_nrak_sita,protected
KW_STATIC,स्थिर,sthira,static
KW_ABSTRACT,अमूर्त,amuurta,abstract
KW_VIRTUAL,आभासी,aabhaasii,virtual
KW_OVERRIDE,अधिरोहण,adhirauha_na,override
KW_MATCH,मिलान,milaana,match
KW_WHEN,जब,jaba,when
KW_FUN,फलन,phalana,fun
KW_REC,पुनरावर्ती,punaraavartii,rec
KW_IN,में,me_n,in
KW_WHERE,जहाँ,jahaa_n,where
KW_DATA,आँकड़ा,aa_nka_daa,data
KW_TYPE,प्रकार,prakaara,type
KW_MODULE,खंड,kha_nda,module
KW_RULE,नियम,niyama,rule
KW_FACT,तथ्य,tathya,fact
KW_QUERY,प्रश्न,prashna,query
KW_NOT,नहीं,nahii_n,not
KW_AND,और,aura,and
KW_OR,या,yaa,or
KW_THREAD,सूत्र,suutra,thread
KW_SPAWN,उत्पन्न,utpanna,spawn
KW_LOCK,ताला,taalaa,lock
KW_SYNC,समकालिक,samakaalika,synchronized
KW_CHANNEL,माध्यम,maadhyama,channel
KW_SELECT,चुनो,cunau,select
KW_PTR,संकेतक,sa_nkeetaka,pointer
KW_REF,संदर्भ,sa_ndarbha,ref
KW_ALLOC,आवंटन,aava_ntana,alloc
KW_FREE,मुक्त,mukta,free
KW_SIZEOF,आकार,aakaara,sizeof
KW_STRUCT,संरचना,sa_nracanaa,struct
KW_UNION,संघ,sa_ngha,union
KW_ENUM,गणना,ga_nanaa,enum
KW_TYPEDEF,प्रकारलेख,prakaaraleekha,typedef
KW_VOLATILE,अस्थिर,asthira,volatile
KW_REGISTER,पंजी,pa_njii,register
KW_EXTERN,बाह्य,baahya,extern
KW_INLINE,अंतःपंक्ति,anta_hpa_nkti,inline
KW_ENTITY,इकाई,ikaaii,entity
KW_ARCH,स्थापत्य,sthaapatya,architecture
KW_SIGNAL,संकेत,sa_nkeeta,signal
KW_PORT,द्वार,dvaara,port
KW_WIRE,तार,taara,wire
KW_REG,पंजिका,pa_njikaa,reg
KW_MODULE_HW,पुरज़ा,puraza,module
KW_ALWAYS,सदैव,sadaiva,always
KW_ASSIGN,निर्धारित,nirdhaarita,assign
KW_BEGIN,आरंभ,aara_nbha,begin
KW_END,अंत,a_nta,end
KW_TRY,प्रयास,prayaasa,try
KW_CATCH,पकड़ो,paka_dau,catch
KW_FINALLY,अंततः,a_ntata_h,finally
KW_THROW,फेंको,phee_nkau,throw
KW_RAISE,उठाओ,uthaaau,raise
KW_EXCEPT,अपवाद,apavaada,except
KW_IMPORT,आयात,aayaata,import
KW_EXPORT,निर्यात,niryaata,export
KW_PACKAGE,बस्ता,bastaa,package
KW_NAMESPACE,नामस्थान,naamasthaana,namespace
KW_USE,उपयोग,upayauga,use
KW_INCLUDE,सम्मिलित,sammilita,include
KW_FROM,से,see,from
KW_AS,रूप,ruupa,as
KW_KERNEL,कर्नेल,karneela,gpu kernel
KW_DEVICE,यंत्र,ya_ntra,device
KW_HOST,परिचारक,paricaaraka,host
KW_GLOBAL,वैश्विक,vaishvika,global
KW_SHARED,साझा,saajhaa,shared
KW_THREADIDX,सूत्रांक,suutraa_nka,thread index
KW_BLOCKIDX,खंडांक,kha_ndaa_nka,block index
KW_GRID,जाल,jaala,grid
KW_BARRIER,अवरोध,avaraudha,barrier
KW_ATOMIC,अणुक,a_nuka,atomic
KW_WARP,ताना,taanaa,warp
KW_TENSOR,प्रदिश,pradisha,tensor
KW_MATRIX,आव्यूह,aavyuuha,matrix
KW_VECTOR,सदिश,sadisha,vector
KW_GRAD,प्रवणता,prava_nataa,gradient
KW_BACKPROP,पश्चप्रसार,pashcaprasaara,backprop
KW_FORWARD,अग्रसार,agrasaara,forward
KW_LAYER,परत,parata,layer
KW_MODEL,प्रतिमान,pratimaana,model
KW_TRAIN,प्रशिक्षण,prashik_sa_na,train
KW_INFER,अनुमान,anumaana,infer
KW_LOSS,हानि,haani,loss
KW_OPTIMIZE,इष्टतम,i_statama,optimize
KW_ACTIVATION,सक्रियण,sakriya_na,activation
KW_WEIGHT,भार,bhaara,weight
KW_BIAS,अभिनति,abhinati,bias
KW_EPOCH,युग,yuga,epoch
KW_BATCH,बैच,baica,batch
KW_DATASET,दत्तसमुच्चय,dattasamuccaya,dataset
KW_EMBED,अंतःस्थापन,anta_hsthaapana,embed
KW_ATTENTION,अवधान,avadhaana,attention
KW_PIN,पिन,pina,pin
KW_READ,पढ़ो,pa_dau,read
KW_WRITE,लिखो,likhau,write
KW_ANALOG,अनुरूप,anuruupa,analog
KW_DIGITAL,अंकीय,a_nkiiya,digital
KW_PWM,स्पंदचौड़ाई,spa_ndacau_daaii,pwm
KW_INTERRUPT,व्यवधान,vyavadhaana,interrupt
KW_TIMER,समयक,samayaka,timer
KW_SENSOR,संवेदक,sa_nveedaka,sensor
KW_ACTUATOR,प्रवर्तक,pravartaka,actuator
KW_BUS,पथ,patha,bus
KW_PROTOCOL,नियमावली,niyamaavalii,protocol
KW_SLEEP,निद्रा,nidraa,sleep
KW_WAKE,जागो,jaagau,wake
KW_MOTOR,मोटर,maotara,motor
KW_SERVO,सर्वो,sarvau,servo
KW_JOINT,संधि,sa_ndhi,joint
KW_POSE,मुद्रा,mudraa,pose
