# language_name: Kannada
# code: kannada
# iso639: kan
# script: Kannada
# speakers: 60 million
construct_id,native_keyword,romenagri,note
KW_IF,ಆದರೆ,aadaree,if
KW_ELSE,ಇಲ್ಲದಿದ್ದರೆ,illadiddaree,else
KW_ELIF,ಅಥವಾಆದರೆ,athavaaaadaree,elif
KW_WHILE,ತನಕ,tanaka,while
KW_DO,ಮಾಡು,maadu,do
KW_FOR,ಗಾಗಿ,gaagi,for
KW_BREAK,ನಿಲ್ಲಿಸು,nillisu,break
KW_CONTINUE,ಮುಂದುವರಿ,mu_nduvari,continue
KW_SWITCH,ಆಯ್ಕೆ,aayke,switch
KW_CASE,ಸ್ಥಿತಿ,sthiti,case
KW_DEFAULT,ಪೂರ್ವನಿಯೋಜಿತ,puurvaniyaujita,default
KW_RETURN,ಹಿಂತಿರುಗಿಸು,hi_ntirugisu,return
KW_GOTO,ಹೋಗು,haugu,goto
KW_VAR,ಚರ,cara,var
KW_CONST,ಸ್ಥಿರಾಂಕ,sthiraa_nka,const
KW_LET,ಇರಲಿ,irali,let
KW_INT,ಪೂರ್ಣಾಂಕ,puur_naa_nka,int
KW_FLOAT,ದಶಮಾಂಶ,dashamaa_nsha,float
KW_DOUBLE,ದ್ವಿಗುಣ,dvigu_na,double
KW_CHAR,ಅಕ್ಷರ,ak_sara,char
KW_BOOL,ತಾರ್ಕಿಕ,taarkika,bool
KW_STRING,ಪದಪುಂಜ,padapu_nja,string
KW_VOID,ಶೂನ್ಯ,shuunya,void
KW_TRUE,ನಿಜ,nija,true
KW_FALSE,ಸುಳ್ಳು,sullu,false
KW_NULL,ಖಾಲಿ,khaali,null
KW_FUNC,ಕಾರ್ಯ,kaarya,function
KW_PROC,ವಿಧಾನ,vidhaana,procedure
KW_CALL,ಕರೆ,karee,call
KW_PARAM,ನಿಯತಾಂಕ,niyataa_nka,param
KW_LAMBDA,ಅನಾಮಿಕ,anaamika,lambda
KW_YIELD,ನೀಡು,niidu,yield
KW_AWAIT,ಕಾಯಿ,kaayi,await
KW_ASYNC,ಅಸಮಕಾಲಿಕ,asamakaalika,async
KW_CLASS,ವರ್ಗ,varga,class
KW_OBJECT,ವಸ್ತು,vastu,object
KW_INTERFACE,ಸಂಪರ್ಕಮುಖ,sa_mparkamukha,interface
KW_EXTENDS,ವಿಸ್ತರಿಸು,vistarisu,extends
KW_IMPLEMENTS,ಅನುಷ್ಠಾನ,anu_sthaana,implements
KW_NEW,ಹೊಸ,hosa,new
KW_THIS,ಇದು,idu,this
KW_SUPER,ಪರ,para,super
KW_PUBLIC,ಸಾರ್ವಜನಿಕ,saarvajanika,public
KW_PRIVATE,ಖಾಸಗಿ,khaasagi,private
KW_PROTECTED,ಸಂರಕ್ಷಿತ,sa_mrak_sita,protected
KW_STATIC,ಸ್ಥಿರ,sthira,static
KW_ABSTRACT,ಅಮೂರ್ತ,amuurta,abstract
KW_VIRTUAL,ವಾಸ್ತವಿಕ,vaastavika,virtual
KW_OVERRIDE,ಅತಿಕ್ರಮಿಸು,atikramisu,override
KW_MATCH,ಹೊಂದಿಸು,ho_ndisu,match
KW_WHEN,ಯಾವಾಗ,yaavaaga,when
KW_FUN,ಫಲನ,phalana,fun
KW_REC,ಪುನರಾವರ್ತಿತ,punaraavartita,rec
KW_IN,ಒಳಗೆ,olage,in
