# language_name: Lao
# code: lao
# iso639: lao
# script: Lao
# speakers: 30M
construct_id,native_keyword,romenagri,note
KW_IF,yadi,yadi,romenagri_pending_lao
KW_ELSE,anyathaa,anyathaa,romenagri_pending_lao
KW_ELIF,naucheedyadi,naucheedyadi,romenagri_pending_lao
KW_WHILE,yaavat,yaavat,romenagri_pending_lao
KW_DO,kuru,kuru,romenagri_pending_lao
KW_FOR,prati,prati,romenagri_pending_lao
KW_BREAK,bha_nga,bha_nga,romenagri_pending_lao
KW_CONTINUE,anuvarta,anuvarta,romenagri_pending_lao
KW_SWITCH,vikalpa,vikalpa,romenagri_pending_lao
KW_CASE,pak_sa,pak_sa,romenagri_pending_lao
KW_DEFAULT,svabhaava,svabhaava,romenagri_pending_lao
KW_RETURN,pratyaagama,pratyaagama,romenagri_pending_lao
KW_GOTO,gaccha,gaccha,romenagri_pending_lao
KW_VAR,cara,cara,romenagri_pending_lao
KW_CONST,dhruva,dhruva,romenagri_pending_lao
KW_LET,astu,astu,romenagri_pending_lao
KW_INT,puur_naa_nka,puur_naa_nka,romenagri_pending_lao
KW_FLOAT,bhinna,bhinna,romenagri_pending_lao
KW_DOUBLE,dviguu_na,dviguu_na,romenagri_pending_lao
KW_CHAR,var_na,var_na,romenagri_pending_lao
KW_BOOL,taarkika,taarkika,romenagri_pending_lao
KW_STRING,padaavalii,padaavalii,romenagri_pending_lao
KW_VOID,shuunya,shuunya,romenagri_pending_lao
KW_TRUE,satya,satya,romenagri_pending_lao
KW_FALSE,asatya,asatya,romenagri_pending_lao
KW_NULL,rikta,rikta,romenagri_pending_lao
KW_FUNC,kriyaa,kriyaa,romenagri_pending_lao
KW_PROC,vidhi,vidhi,romenagri_pending_lao
KW_CALL,aahvaana,aahvaana,romenagri_pending_lao
KW_PARAM,praacala,praacala,romenagri_pending_lao
KW_LAMBDA,anaaman,anaaman,romenagri_pending_lao
KW_YIELD,daa,daa,romenagri_pending_lao
KW_AWAIT,pratiik_sa,pratiik_sa,romenagri_pending_lao
KW_ASYNC,asamakaala,asamakaala,romenagri_pending_lao
KW_CLASS,varga,varga,romenagri_pending_lao
KW_OBJECT,vastu,vastu,romenagri_pending_lao
KW_INTERFACE,sandhi,sandhi,romenagri_pending_lao
KW_EXTENDS,vistr_ta,vistr_ta,romenagri_pending_lao
