# language_name: Limbu
# code: limbu
# iso639: lif
# script: Limbu
# speakers: 340K
construct_id,native_keyword,romenagri,note
KW_IF,yadi,yadi,romenagri_pending_limbu
KW_ELSE,anyathaa,anyathaa,romenagri_pending_limbu
KW_ELIF,naucheedyadi,naucheedyadi,romenagri_pending_limbu
KW_WHILE,yaavat,yaavat,romenagri_pending_limbu
KW_DO,kuru,kuru,romenagri_pending_limbu
KW_FOR,prati,prati,romenagri_pending_limbu
KW_BREAK,bha_nga,bha_nga,romenagri_pending_limbu
KW_CONTINUE,anuvarta,anuvarta,romenagri_pending_limbu
KW_SWITCH,vikalpa,vikalpa,romenagri_pending_limbu
KW_CASE,pak_sa,pak_sa,romenagri_pending_limbu
KW_DEFAULT,svabhaava,svabhaava,romenagri_pending_limbu
KW_RETURN,pratyaagama,pratyaagama,romenagri_pending_limbu
KW_GOTO,gaccha,gaccha,romenagri_pending_limbu
KW_VAR,cara,cara,romenagri_pending_limbu
KW_CONST,dhruva,dhruva,romenagri_pending_limbu
KW_LET,astu,astu,romenagri_pending_limbu
KW_INT,puur_naa_nka,puur_naa_nka,romenagri_pending_limbu
KW_FLOAT,bhinna,bhinna,romenagri_pending_limbu
KW_DOUBLE,dviguu_na,dviguu_na,romenagri_pending_limbu
KW_CHAR,var_na,var_na,romenagri_pending_limbu
KW_BOOL,taarkika,taarkika,romenagri_pending_limbu
KW_STRING,padaavalii,padaavalii,romenagri_pending_limbu
KW_VOID,shuunya,shuunya,romenagri_pending_limbu
KW_TRUE,satya,satya,romenagri_pending_limbu
KW_FALSE,asatya,asatya,romenagri_pending_limbu
KW_NULL,rikta,rikta,romenagri_pending_limbu
KW_FUNC,kriyaa,kriyaa,romenagri_pending_limbu
KW_PROC,vidhi,vidhi,romenagri_pending_limbu
KW_CALL,aahvaana,aahvaana,romenagri_pending_limbu
KW_PARAM,praacala,praacala,romenagri_pending_limbu
KW_LAMBDA,anaaman,anaaman,romenagri_pending_limbu
KW_YIELD,daa,daa,romenagri_pending_limbu
KW_AWAIT,pratiik_sa,pratiik_sa,romenagri_pending_limbu
KW_ASYNC,asamakaala,asamakaala,romenagri_pending_limbu
KW_CLASS,varga,varga,romenagri_pending_limbu
KW_OBJECT,vastu,vastu,romenagri_pending_limbu
KW_INTERFACE,sandhi,sandhi,romenagri_pending_limbu
KW_EXTENDS,vistr_ta,vistr_ta,romenagri_pending_limbu
KW_IMPLEMENTS,ni_spaadita,ni_spaadita,romenagri_pending_limbu
KW_NEW,nuutana,nuutana,romenagri_pending_limbu
KW_THIS,eetat,eetat,romenagri_pending_limbu
KW_SUPER,para,para,romenagri_pending_limbu
KW_PUBLIC,saarvajanika,saarvajanika,romenagri_pending_limbu
KW_PRIVATE,gupta,gupta,romenagri_pending_limbu
KW_PROTECTED,rak_sita,rak_sita,romenagri_pending_limbu
KW_STATIC,sthira,sthira,romenagri_pending_limbu
KW_ABSTRACT,amuurta,amuurta,romenagri_pending_limbu
KW_VIRTUAL,aabhaasa,aabhaasa,romenagri_pending_limbu
KW_OVERRIDE,adhirauha,adhirauha,romenagri_pending_limbu
KW_MATCH,meela,meela,romenagri_pending_limbu
KW_WHEN,yadaa,yadaa,romenagri_pending_limbu
KW_FUN,phala,phala,romenagri_pending_limbu
KW_REC,punaraavr_tta,punaraavr_tta,romenagri_pending_limbu
KW_IN,anta_h,anta_h,romenagri_pending_limbu
KW_WHERE,yatra,yatra,romenagri_pending_limbu
KW_DATA,datta,datta,romenagri_pending_limbu
KW_TYPE,prakaara,prakaara,romenagri_pending_limbu
KW_MODULE,kha_nda,kha_nda,romenagri_pending_limbu
KW_RULE,suutra,suutra,romenagri_pending_limbu
KW_FACT,tathya,tathya,romenagri_pending_limbu
KW_QUERY,prashna,prashna,romenagri_pending_limbu
KW_NOT,na,na,romenagri_pending_limbu
KW_AND,ca,ca,romenagri_pending_limbu
KW_OR,vaa,vaa,romenagri_pending_limbu
KW_THREAD,tantu,tantu,romenagri_pending_limbu
KW_SPAWN,utpaada,utpaada,romenagri_pending_limbu
KW_LOCK,taalaka,taalaka,romenagri_pending_limbu
KW_SYNC,samakaala,samakaala,romenagri_pending_limbu
KW_CHANNEL,maarga,maarga,romenagri_pending_limbu
KW_SELECT,vr_nu,vr_nu,romenagri_pending_limbu
KW_PTR,nirdeeshaka,nirdeeshaka,romenagri_pending_limbu
KW_REF,sandarbha,sandarbha,romenagri_pending_limbu
KW_ALLOC,aava_ntana,aava_ntana,romenagri_pending_limbu
KW_FREE,mukta,mukta,romenagri_pending_limbu
KW_SIZEOF,parimaa_na,parimaa_na,romenagri_pending_limbu
KW_STRUCT,sa_nracanaa,sa_nracanaa,romenagri_pending_limbu
KW_UNION,sa_ngha,sa_ngha,romenagri_pending_limbu
KW_ENUM,ga_nanaa,ga_nanaa,romenagri_pending_limbu
KW_TYPEDEF,prakaaranirdeesha,prakaaranirdeesha,romenagri_pending_limbu
KW_VOLATILE,ca_ncala,ca_ncala,romenagri_pending_limbu
KW_REGISTER,pa_njikaa,pa_njikaa,romenagri_pending_limbu
KW_EXTERN,baahya,baahya,romenagri_pending_limbu
KW_INLINE,anta_hstha,anta_hstha,romenagri_pending_limbu
KW_ENTITY,sattaa,sattaa,romenagri_pending_limbu
KW_ARCH,sthaapatya,sthaapatya,romenagri_pending_limbu
KW_SIGNAL,sa_nkeeta,sa_nkeeta,romenagri_pending_limbu
KW_PORT,dvaara,dvaara,romenagri_pending_limbu
KW_WIRE,tantu,tantu,romenagri_pending_limbu
KW_REG,pa_njii,pa_njii,romenagri_pending_limbu
KW_MODULE_HW,a_nsha,a_nsha,romenagri_pending_limbu
KW_ALWAYS,sadaa,sadaa,romenagri_pending_limbu
KW_ASSIGN,niyukta,niyukta,romenagri_pending_limbu
KW_BEGIN,aarambha,aarambha,romenagri_pending_limbu
KW_END,anta,anta,romenagri_pending_limbu
KW_TRY,yatna,yatna,romenagri_pending_limbu
KW_CATCH,gr_haa_na,gr_haa_na,romenagri_pending_limbu
KW_FINALLY,antata_h,antata_h,romenagri_pending_limbu
KW_THROW,k_sipa,k_sipa,romenagri_pending_limbu
KW_RAISE,utthaapaya,utthaapaya,romenagri_pending_limbu
KW_EXCEPT,apavaada,apavaada,romenagri_pending_limbu
KW_IMPORT,aanayana,aanayana,romenagri_pending_limbu
KW_EXPORT,niryaapa_na,niryaapa_na,romenagri_pending_limbu
KW_PACKAGE,putaka,putaka,romenagri_pending_limbu
KW_NAMESPACE,naamaakaasha,naamaakaasha,romenagri_pending_limbu
KW_USE,upayauga,upayauga,romenagri_pending_limbu
KW_INCLUDE,antarbhaava,antarbhaava,romenagri_pending_limbu
KW_FROM,ta_h,ta_h,romenagri_pending_limbu
KW_AS,iva,iva,romenagri_pending_limbu
KW_KERNEL,biija,biija,romenagri_pending_limbu
KW_DEVICE,yantra,yantra,romenagri_pending_limbu
KW_HOST,aatitheeya,aatitheeya,romenagri_pending_limbu
KW_GLOBAL,vaishvika,vaishvika,romenagri_pending_limbu
KW_SHARED,sahabhaajita,sahabhaajita,romenagri_pending_limbu
KW_THREADIDX,tantva_nka,tantva_nka,romenagri_pending_limbu
KW_BLOCKIDX,kha_ndaa_nka,kha_ndaa_nka,romenagri_pending_limbu
KW_GRID,jaala,jaala,romenagri_pending_limbu
KW_BARRIER,avaurudha,avaurudha,romenagri_pending_limbu
KW_ATOMIC,aa_navika,aa_navika,romenagri_pending_limbu
KW_WARP,tantusamuuha,tantusamuuha,romenagri_pending_limbu
KW_TENSOR,pradisha,pradisha,romenagri_pending_limbu
KW_MATRIX,aavyuuha,aavyuuha,romenagri_pending_limbu
KW_VECTOR,sadisha,sadisha,romenagri_pending_limbu
