# language_name: Malayalam
# code: malayalam
# iso639: mal
# script: Malayalam
# speakers: 38 million
construct_id,native_keyword,romenagri,note
KW_IF,എങ്കിൽ,e_nkila,if
KW_ELSE,അല്ലെങ്കിൽ,alle_nkila,else
KW_ELIF,അല്ലെങ്കിലെങ്കിൽ,alle_nkile_nkila,elif
KW_WHILE,വരെ,vare,while
KW_DO,ചെയ്യുക,ceyyuka,do
KW_FOR,വേണ്ടി,ve_ndi,for
KW_BREAK,നിർത്തുക,nirttuka,break
KW_CONTINUE,തുടരുക,tudaruka,continue
KW_SWITCH,തിരഞ്ഞെടുപ്പ്,tira_nyedupp,switch
KW_CASE,അവസ്ഥ,avastha,case
KW_DEFAULT,സ്ഥിരസ്ഥിതി,sthirasthiti,default
KW_RETURN,മടക്കുക,madakkuka,return
KW_GOTO,പോകുക,paukuka,goto
KW_VAR,ചരം,cara_m,var
KW_CONST,സ്ഥിരം,sthira_m,const
KW_LET,ആകട്ടെ,aakatte,let
KW_INT,പൂർണ്ണസംഖ്യ,puur_n_nasa_mkhya,int
KW_FLOAT,ദശാംശം,dashaa_msha_m,float
KW_DOUBLE,ഇരട്ട,iratta,double
KW_CHAR,അക്ഷരം,ak_sara_m,char
KW_BOOL,തർക്കം,tarkka_m,bool
KW_STRING,വാക്യം,vaakya_m,string
KW_VOID,ശൂന്യം,shuunya_m,void
KW_TRUE,സത്യം,satya_m,true
KW_FALSE,അസത്യം,asatya_m,false
KW_NULL,ശൂന്യ,shuunya,null
KW_FUNC,ധർമ്മം,dharmma_m,function
KW_PROC,നടപടി,nadapadi,procedure
KW_CALL,വിളിക്കുക,vilikkuka,call
KW_PARAM,പ്രാചലം,praacala_m,param
KW_LAMBDA,അജ്ഞാത,ajnyaata,lambda
KW_YIELD,നൽകുക,nalkuka,yield
KW_AWAIT,കാത്തിരിക്കുക,kaattirikkuka,await
KW_ASYNC,അസമകാലിക,asamakaalika,async
KW_CLASS,വർഗ്ഗം,varggsa_m,class
KW_OBJECT,വസ്തു,vastu,object
KW_INTERFACE,സമ്പർക്കമുഖം,sa_mparkkamukha_m,interface
KW_EXTENDS,വിപുലീകരിക്കുക,vipuliikarikkuka,extends
KW_IMPLEMENTS,നടപ്പാക്കുക,nadappaakkuka,implements
KW_NEW,പുതിയ,putiya,new
KW_THIS,ഇത്,it,this
KW_SUPER,പരം,para_m,super
KW_PUBLIC,പൊതു,potu,public
KW_PRIVATE,സ്വകാര്യ,svakaarya,private
KW_PROTECTED,സംരക്ഷിത,sa_mrak_sita,protected
KW_STATIC,സ്ഥിതം,sthita_m,static
KW_ABSTRACT,അമൂർത്ത,amuurtta,abstract
KW_VIRTUAL,മായാ,maayaa,virtual
KW_OVERRIDE,അതിലംഘിക്കുക,atila_mghikkuka,override
KW_MATCH,പൊരുത്തം,poruttha_m,match
KW_WHEN,എപ്പോൾ,eppaula,when
KW_FUN,ഫലനം,phalana_m,fun
KW_REC,ആവർത്തന,aavarttana,rec
KW_IN,ഇൽ,ila,in
KW_WHERE,എവിടെ,evide,where
KW_DATA,വിവരം,vivara_m,data
KW_TYPE,തരം,tara_m,type
KW_MODULE,ഘടകം,ghataka_m,module
KW_RULE,നിയമം,niyama_m,rule
KW_FACT,വസ്തുത,vastuta,fact
KW_QUERY,ചോദ്യം,caudya_m,query
KW_NOT,അല്ല,alla,not
KW_AND,ഒപ്പം,oppa_m,and
KW_OR,അഥവാ,athavaa,or
KW_THREAD,നൂൽ,nuula,thread
KW_SPAWN,സൃഷ്ടിക്കുക,sr_stikkuka,spawn
KW_LOCK,പൂട്ട്,puutt,lock
KW_SYNC,സമന്വയം,samanvaya_m,synchronized
KW_CHANNEL,മാർഗ്ഗം,maarggsa_m,channel
KW_SELECT,തിരഞ്ഞെടുക്കുക,tira_nyedukkuka,select
KW_PTR,സൂചകം,suucaka_m,pointer
KW_REF,പരാമർശം,paraamarsha_m,ref
KW_ALLOC,അനുവദിക്കുക,anuvadikkuka,alloc
KW_FREE,സ്വതന്ത്രം,svatantra_m,free
KW_SIZEOF,വലുപ്പം,valuppa_m,sizeof
KW_STRUCT,ഘടന,ghatana,struct
KW_UNION,സംഘം,sa_mgha_m,union
KW_ENUM,എണ്ണൽ,e_n_nala,enum
KW_TYPEDEF,തരനിർവചനം,taranirvacana_m,typedef
KW_VOLATILE,അസ്ഥിര,asthira,volatile
KW_REGISTER,രജിസ്റ്റർ,rajisttara,register
KW_EXTERN,ബാഹ്യ,baahya,extern
KW_INLINE,വരിയിൽ,variyila,inline
KW_ENTITY,അസ്തിത്വം,astitva_m,entity
KW_ARCH,വാസ്തുവിദ്യ,vaastuvidya,architecture
KW_SIGNAL,സൂചന,suucana,signal
KW_PORT,തുറമുഖം,turamukha_m,port
KW_WIRE,കമ്പി,kampi,wire
KW_REG,രജിസ്റ്റർ,rajisttara,reg
KW_MODULE_HW,ഭാഗം,bhaaga_m,module
KW_ALWAYS,എപ്പോഴും,eppaazhu_m,always
KW_ASSIGN,നൽകുക,nalkuka,assign
KW_BEGIN,ആരംഭം,aara_mbha_m,begin
KW_END,അവസാനം,avasaana_m,end
KW_TRY,ശ്രമിക്കുക,shramikkuka,try
KW_CATCH,പിടിക്കുക,pidikkuka,catch
KW_FINALLY,അവസാനമായി,avasaanamaayi,finally
KW_THROW,എറിയുക,eriyuka,throw
KW_RAISE,ഉയർത്തുക,uyarttuka,raise
KW_EXCEPT,അപവാദം,apavaada_m,except
KW_IMPORT,ഇറക്കുമതി,irakkumati,import
KW_EXPORT,കയറ്റുമതി,kayatttumati,export
KW_PACKAGE,പൊതി,poti,package
KW_NAMESPACE,നാമാകാശ,naamaakaasha,tatsama<sanskrit
KW_USE,ഉപയോഗ,upayauga,tatsama<sanskrit
KW_INCLUDE,അന്തര്ഭാവ,antarbhaava,tatsama<sanskrit
KW_FROM,തഃ,ta_h,tatsama<sanskrit
KW_AS,ഇവ,iva,tatsama<sanskrit
KW_KERNEL,ബീജ,biija,tatsama<sanskrit
KW_DEVICE,യന്ത്ര,yantra,tatsama<sanskrit
KW_HOST,ആതിഥേയ,aatitheeya,tatsama<sanskrit
KW_GLOBAL,വൈശ്വിക,vaishvika,tatsama<sanskrit
KW_SHARED,സഹഭാജിത,sahabhaajita,tatsama<sanskrit
KW_THREADIDX,തന്ത്വങ്ക,tantva_nka,tatsama<sanskrit
KW_BLOCKIDX,ഖണ്ഡാങ്ക,kha_ndaa_nka,tatsama<sanskrit
KW_GRID,ജാല,jaala,tatsama<sanskrit
KW_BARRIER,അവരോധ,avaurudha,tatsama<sanskrit
KW_ATOMIC,ആണവിക,aa_navika,tatsama<sanskrit
KW_WARP,തന്തുസമൂഹ,tantusamuuha,tatsama<sanskrit
KW_TENSOR,പ്രദിശ,pradisha,tatsama<sanskrit
KW_MATRIX,ആവ്യൂഹ,aavyuuha,tatsama<sanskrit
KW_VECTOR,സദിശ,sadisha,tatsama<sanskrit
KW_GRAD,പ്രവണതാ,prava_nataa,tatsama<sanskrit
KW_BACKPROP,പ്രതിപ്രസാര,pratiprasaara,tatsama<sanskrit
KW_FORWARD,അഗ്രപ്രസാര,agraprasaara,tatsama<sanskrit
KW_LAYER,സ്തര,stara,tatsama<sanskrit
KW_MODEL,പ്രതിമാന,pratimaana,tatsama<sanskrit
KW_TRAIN,പ്രശിക്ഷണ,prashik_sa_na,tatsama<sanskrit
KW_INFER,അനുമാന,anumaana,tatsama<sanskrit
KW_LOSS,ഹാനി,haani,tatsama<sanskrit
KW_OPTIMIZE,അനുകൂലന,anukuulana,tatsama<sanskrit
KW_ACTIVATION,സക്രിയണ,sakriya_na,tatsama<sanskrit
KW_WEIGHT,ഭാര,bhaara,tatsama<sanskrit
KW_BIAS,പക്ഷപാത,pak_sapaata,tatsama<sanskrit
KW_EPOCH,കല്പ,kalpa,tatsama<sanskrit
KW_BATCH,പുഞ്ജ,pu_nja,tatsama<sanskrit
KW_DATASET,ദത്തസമൂഹ,dattasamuuha,tatsama<sanskrit
KW_EMBED,നിവേശന,niveeshana,tatsama<sanskrit
KW_ATTENTION,അവധാന,avadhaana,tatsama<sanskrit
KW_PIN,കീലക,kiilaka,tatsama<sanskrit
KW_READ,പഠ,patha,tatsama<sanskrit
