# language_name: Marwari
# code: marwari
# iso639: mwr
# script: Devanagari
# speakers: 30M
construct_id,native_keyword,romenagri,note
KW_IF,यदि,yadi,tatsama<sanskrit
KW_ELSE,अन्यथा,anyathaa,tatsama<sanskrit
KW_ELIF,नोचेद्यदि,naucheedyadi,tatsama<sanskrit
KW_WHILE,यावत्,yaavat,tatsama<sanskrit
KW_DO,कुरु,kuru,tatsama<sanskrit
KW_FOR,प्रति,prati,tatsama<sanskrit
KW_BREAK,भङ्ग,bha_nga,tatsama<sanskrit
KW_CONTINUE,अनुवर्त,anuvarta,tatsama<sanskrit
KW_SWITCH,विकल्प,vikalpa,tatsama<sanskrit
KW_CASE,पक्ष,pak_sa,tatsama<sanskrit
KW_DEFAULT,स्वभाव,svabhaava,tatsama<sanskrit
KW_RETURN,प्रत्यागम,pratyaagama,tatsama<sanskrit
KW_GOTO,गच्छ,gaccha,tatsama<sanskrit
KW_VAR,चर,cara,tatsama<sanskrit
KW_CONST,ध्रुव,dhruva,tatsama<sanskrit
KW_LET,अस्तु,astu,tatsama<sanskrit
KW_INT,पूर्णाङ्क,puur_naa_nka,tatsama<sanskrit
KW_FLOAT,भिन्न,bhinna,tatsama<sanskrit
KW_DOUBLE,द्विगुण,dviguu_na,tatsama<sanskrit
KW_CHAR,वर्ण,var_na,tatsama<sanskrit
KW_BOOL,तार्किक,taarkika,tatsama<sanskrit
KW_STRING,पदावली,padaavalii,tatsama<sanskrit
KW_VOID,शून्य,shuunya,tatsama<sanskrit
KW_TRUE,सत्य,satya,tatsama<sanskrit
KW_FALSE,असत्य,asatya,tatsama<sanskrit
KW_NULL,रिक्त,rikta,tatsama<sanskrit
KW_FUNC,क्रिया,kriyaa,tatsama<sanskrit
KW_PROC,विधि,vidhi,tatsama<sanskrit
KW_CALL,आह्वान,aahvaana,tatsama<sanskrit
KW_PARAM,प्राचल,praacala,tatsama<sanskrit
KW_LAMBDA,अनामन्,anaaman,tatsama<sanskrit
KW_YIELD,दा,daa,tatsama<sanskrit
KW_AWAIT,प्रतीक्ष,pratiik_sa,tatsama<sanskrit
KW_ASYNC,असमकाल,asamakaala,tatsama<sanskrit
KW_CLASS,वर्ग,varga,tatsama<sanskrit
KW_OBJECT,वस्तु,vastu,tatsama<sanskrit
KW_INTERFACE,सन्धि,sandhi,tatsama<sanskrit
KW_EXTENDS,विस्तृत,vistr_ta,tatsama<sanskrit
KW_IMPLEMENTS,निष्पादित,ni_spaadita,tatsama<sanskrit
KW_NEW,नूतन,nuutana,tatsama<sanskrit
KW_THIS,एतत्,eetat,tatsama<sanskrit
KW_SUPER,पर,para,tatsama<sanskrit
KW_PUBLIC,सार्वजनिक,saarvajanika,tatsama<sanskrit
KW_PRIVATE,गुप्त,gupta,tatsama<sanskrit
KW_PROTECTED,रक्षित,rak_sita,tatsama<sanskrit
KW_STATIC,स्थिर,sthira,tatsama<sanskrit
KW_ABSTRACT,अमूर्त,amuurta,tatsama<sanskrit
KW_VIRTUAL,आभास,aabhaasa,tatsama<sanskrit
KW_OVERRIDE,अधिरोह,adhirauha,tatsama<sanskrit
KW_MATCH,मेल,meela,tatsama<sanskrit
KW_WHEN,यदा,yadaa,tatsama<sanskrit
KW_FUN,फल,phala,tatsama<sanskrit
KW_REC,पुनरावृत्त,punaraavr_tta,tatsama<sanskrit
KW_IN,अन्तः,anta_h,tatsama<sanskrit
KW_WHERE,यत्र,yatra,tatsama<sanskrit
KW_DATA,दत्त,datta,tatsama<sanskrit
KW_TYPE,प्रकार,prakaara,tatsama<sanskrit
KW_MODULE,खण्ड,kha_nda,tatsama<sanskrit
KW_RULE,सूत्र,suutra,tatsama<sanskrit
KW_FACT,तथ्य,tathya,tatsama<sanskrit
KW_QUERY,प्रश्न,prashna,tatsama<sanskrit
KW_NOT,न,na,tatsama<sanskrit
KW_AND,च,ca,tatsama<sanskrit
KW_OR,वा,vaa,tatsama<sanskrit
KW_THREAD,तन्तु,tantu,tatsama<sanskrit
KW_SPAWN,उत्पाद,utpaada,tatsama<sanskrit
KW_LOCK,तालक,taalaka,tatsama<sanskrit
KW_SYNC,समकाल,samakaala,tatsama<sanskrit
KW_CHANNEL,मार्ग,maarga,tatsama<sanskrit
KW_SELECT,वृणु,vr_nu,tatsama<sanskrit
KW_PTR,निर्देशक,nirdeeshaka,tatsama<sanskrit
KW_REF,सन्दर्भ,sandarbha,tatsama<sanskrit
KW_ALLOC,आवण्टन,aava_ntana,tatsama<sanskrit
KW_FREE,मुक्त,mukta,tatsama<sanskrit
KW_SIZEOF,परिमाण,parimaa_na,tatsama<sanskrit
KW_STRUCT,संरचना,sa_nracanaa,tatsama<sanskrit
KW_UNION,सङ्घ,sa_ngha,tatsama<sanskrit
KW_ENUM,गणना,ga_nanaa,tatsama<sanskrit
KW_TYPEDEF,प्रकारनिर्देश,prakaaranirdeesha,tatsama<sanskrit
KW_VOLATILE,चञ्चल,ca_ncala,tatsama<sanskrit
KW_REGISTER,पञ्जिका,pa_njikaa,tatsama<sanskrit
KW_EXTERN,बाह्य,baahya,tatsama<sanskrit
KW_INLINE,अन्तःस्थ,anta_hstha,tatsama<sanskrit
KW_ENTITY,सत्ता,sattaa,tatsama<sanskrit
KW_ARCH,स्थापत्य,sthaapatya,tatsama<sanskrit
KW_SIGNAL,सङ्केत,sa_nkeeta,tatsama<sanskrit
KW_PORT,द्वार,dvaara,tatsama<sanskrit
KW_WIRE,तन्तु,tantu,tatsama<sanskrit
KW_REG,पञ्जी,pa_njii,tatsama<sanskrit
KW_MODULE_HW,अंश,a_nsha,tatsama<sanskrit
KW_ALWAYS,सदा,sadaa,tatsama<sanskrit
KW_ASSIGN,नियुक्त,niyukta,tatsama<sanskrit
KW_BEGIN,आरम्भ,aarambha,tatsama<sanskrit
KW_END,अन्त,anta,tatsama<sanskrit
KW_TRY,यत्न,yatna,tatsama<sanskrit
KW_CATCH,गृहाण,gr_haa_na,tatsama<sanskrit
KW_FINALLY,अन्ततः,antata_h,tatsama<sanskrit
KW_THROW,क्षिप,k_sipa,tatsama<sanskrit
KW_RAISE,उत्थापय,utthaapaya,tatsama<sanskrit
KW_EXCEPT,अपवाद,apavaada,tatsama<sanskrit
KW_IMPORT,आनयन,aanayana,tatsama<sanskrit
KW_EXPORT,निर्यापण,niryaapa_na,tatsama<sanskrit
KW_PACKAGE,पुटक,putaka,tatsama<sanskrit
KW_NAMESPACE,नामाकाश,naamaakaasha,tatsama<sanskrit
KW_USE,उपयोग,upayauga,tatsama<sanskrit
KW_INCLUDE,अन्तर्भाव,antarbhaava,tatsama<sanskrit
KW_FROM,तः,ta_h,tatsama<sanskrit
KW_AS,इव,iva,tatsama<sanskrit
KW_KERNEL,बीज,biija,tatsama<sanskrit
KW_DEVICE,यन्त्र,yantra,tatsama<sanskrit
KW_HOST,आतिथेय,aatitheeya,tatsama<sanskrit
KW_GLOBAL,वैश्विक,vaishvika,tatsama<sanskrit
KW_SHARED,सहभाजित,sahabhaajita,tatsama<sanskrit
KW_THREADIDX,तन्त्वङ्क,tantva_nka,tatsama<sanskrit
KW_BLOCKIDX,खण्डाङ्क,kha_ndaa_nka,tatsama<sanskrit
KW_GRID,जाल,jaala,tatsama<sanskrit
KW_BARRIER,अवरोध,avaurudha,tatsama<sanskrit
KW_ATOMIC,आणविक,aa_navika,tatsama<sanskrit
KW_WARP,तन्तुसमूह,tantusamuuha,tatsama<sanskrit
KW_TENSOR,प्रदिश,pradisha,tatsama<sanskrit
KW_MATRIX,आव्यूह,aavyuuha,tatsama<sanskrit
KW_VECTOR,सदिश,sadisha,tatsama<sanskrit
KW_GRAD,प्रवणता,prava_nataa,tatsama<sanskrit
KW_BACKPROP,प्रतिप्रसार,pratiprasaara,tatsama<sanskrit
KW_FORWARD,अग्रप्रसार,agraprasaara,tatsama<sanskrit
KW_LAYER,स्तर,stara,tatsama<sanskrit
KW_MODEL,प्रतिमान,pratimaana,tatsama<sanskrit
KW_TRAIN,प्रशिक्षण,prashik_sa_na,tatsama<sanskrit
KW_INFER,अनुमान,anumaana,tatsama<sanskrit
KW_LOSS,हानि,haani,tatsama<sanskrit
KW_OPTIMIZE,अनुकूलन,anukuulana,tatsama<sanskrit
KW_ACTIVATION,सक्रियण,sakriya_na,tatsama<sanskrit
KW_WEIGHT,भार,bhaara,tatsama<sanskrit
KW_BIAS,पक्षपात,pak_sapaata,tatsama<sanskrit
KW_EPOCH,कल्प,kalpa,tatsama<sanskrit
KW_BATCH,पुञ्ज,pu_nja,tatsama<sanskrit
KW_DATASET,दत्तसमूह,dattasamuuha,tatsama<sanskrit
KW_EMBED,निवेशन,niveeshana,tatsama<sanskrit
KW_ATTENTION,अवधान,avadhaana,tatsama<sanskrit
KW_PIN,कीलक,kiilaka,tatsama<sanskrit
KW_READ,पठ,patha,tatsama<sanskrit
KW_WRITE,लिख,likha,tatsama<sanskrit
KW_ANALOG,सदृश,sadr_sha,tatsama<sanskrit
KW_DIGITAL,अङ्कीय,a_nkiiya,tatsama<sanskrit
KW_PWM,स्पन्दविस्तार,spandavistaara,tatsama<sanskrit
KW_INTERRUPT,विघ्न,vighna,tatsama<sanskrit
KW_TIMER,कालयन्त्र,kaalayantra,tatsama<sanskrit
KW_SENSOR,संवेदक,sa_nveedaka,tatsama<sanskrit
KW_ACTUATOR,प्रवर्तक,pravartaka,tatsama<sanskrit
KW_BUS,मार्ग,maarga,tatsama<sanskrit
KW_PROTOCOL,नियमावली,niyamaavalii,tatsama<sanskrit
KW_SLEEP,सुषुप्ति,su_supti,tatsama<sanskrit
KW_WAKE,जागृ,jaagr_,tatsama<sanskrit
KW_MOTOR,चालक,caalaka,tatsama<sanskrit
KW_SERVO,अनुचालक,anucaalaka,tatsama<sanskrit
KW_JOINT,सन्धि,sandhi,tatsama<sanskrit
KW_POSE,मुद्रा,mudraa,tatsama<sanskrit
KW_TRAJECTORY,प्रक्षेपपथ,prak_seepapatha,tatsama<sanskrit
KW_FEEDBACK,प्रतिपुष्टि,pratipu_sti,tatsama<sanskrit
KW_PID,नियन्त्रक,niyantraka,tatsama<sanskrit
KW_DEADLINE,कालसीमा,kaalasiimaa,tatsama<sanskrit
KW_PERIODIC,आवर्तिक,aavartika,tatsama<sanskrit
KW_PRIORITY,प्राथम्य,praathamya,tatsama<sanskrit
KW_ACTUATE,प्रवर्तय,pravartaya,tatsama<sanskrit
KW_PERCEIVE,प्रत्यक्ष,pratyak_sa,tatsama<sanskrit
KW_PLAN,योजना,yaujanaa,tatsama<sanskrit
KW_STREAM,धारा,dhaaraa,tatsama<sanskrit
KW_PIPE,प्रणाल,pra_naala,tatsama<sanskrit
KW_MAP,प्रतिचित्र,praticitra,tatsama<sanskrit
KW_FILTER,छाल,chaala,tatsama<sanskrit
KW_REDUCE,न्यूनीकृ,nyuuniikr_,tatsama<sanskrit
KW_FOLD,संवेष्ट,sa_nvee_sta,tatsama<sanskrit
KW_OBSERVE,निरीक्ष,niriik_sa,tatsama<sanskrit
KW_EMIT,उत्सृज,utsr_ja,tatsama<sanskrit
KW_SUBSCRIBE,अभिनिवेश,abhiniveesha,tatsama<sanskrit
KW_DEBOUNCE,स्पन्दशोधन,spandashaudhana,tatsama<sanskrit
KW_OWN,स्वामित्व,svaamitva,tatsama<sanskrit
KW_BORROW,ऋण,r_na,tatsama<sanskrit
KW_MOVE,स्थानान्तर,sthaanaantara,tatsama<sanskrit
KW_MUT,परिवर्त्य,parivartya,tatsama<sanskrit
KW_LIFETIME,आयुष्काल,aayu_skaala,tatsama<sanskrit
KW_ARENA,क्षेत्र,k_seetra,tatsama<sanskrit
KW_GC,मलसंग्रह,malasa_ngraha,tatsama<sanskrit
KW_PIN_MEM,स्मृतिकीलक,smr_tikiilaka,tatsama<sanskrit
KW_REQUIRES,अपेक्षते,apeek_satee,tatsama<sanskrit
KW_ENSURES,सुनिश्चयति,sunishcayati,tatsama<sanskrit
KW_INVARIANT,अपरिवर्त्य,aparivartya,tatsama<sanskrit
KW_ASSERT,प्रतिज्ञा,pratijnyaa,tatsama<sanskrit
KW_ASSUME,अध्यवस्यति,adhyavasyati,tatsama<sanskrit
KW_PROVE,साधयति,saadhayati,tatsama<sanskrit
KW_REFINES,परिष्करोति,pari_skarauti,tatsama<sanskrit
KW_MODEL_CHECK,प्रतिमानपरीक्षा,pratimaanapariik_saa,tatsama<sanskrit
KW_NODE,ग्रन्थि,granthi,tatsama<sanskrit
KW_REPLICA,प्रतिकृति,pratikr_ti,tatsama<sanskrit
KW_CONSENSUS,सर्वसम्मति,sarvasammati,tatsama<sanskrit
KW_SHARD,खण्ड,kha_nda,tatsama<sanskrit
KW_GOSSIP,जनवाद,janavaada,tatsama<sanskrit
KW_LEADER,नायक,naayaka,tatsama<sanskrit
KW_RPC,दूरप्रक्रिया,duuraprakriyaa,tatsama<sanskrit
KW_ACTOR,कर्तृ,kartr_,tatsama<sanskrit
KW_MESSAGE,सन्देश,sandeesha,tatsama<sanskrit
