# language_name: Odia
# code: odia
# iso639: ori
# script: Odia
# speakers: 38 million
construct_id,native_keyword,romenagri,note
KW_IF,ଯଦି,yadi,if
KW_ELSE,ଅନ୍ୟଥା,anyathaa,else
KW_ELIF,ନଚେତଯଦି,naceetayadi,elif
KW_WHILE,ଯେପର୍ଯ୍ୟନ୍ତ,yeeparyyanta,while
KW_DO,କର,kara,do
KW_FOR,ପାଇଁ,paaii_n,for
KW_BREAK,ଭାଙ୍ଗ,bhaa_nga,break
KW_CONTINUE,ଜାରି,jaari,continue
KW_SWITCH,ବାଛ,baacha,switch
KW_CASE,ସ୍ଥିତି,sthiti,case
KW_DEFAULT,ପୂର୍ବନିର୍ଦ୍ଧାରିତ,puurbanirddhaarita,default
KW_RETURN,ଫେରାଅ,pheeraaa,return
KW_GOTO,ଯାଅ,yaaa,goto
KW_VAR,ଚଳ,cala,var
KW_CONST,ଅଚଳ,acala,const
KW_LET,ଧର,dhara,let
KW_INT,ପୂର୍ଣ୍ଣସଂଖ୍ୟା,puur_n_nasa_mkhyaa,int
KW_FLOAT,ଦଶମିକ,dashamika,float
KW_DOUBLE,ଦ୍ୱିଗୁଣ,dvigu_na,double
KW_CHAR,ଅକ୍ଷର,ak_sara,char
KW_BOOL,ତାର୍କିକ,taarkika,bool
KW_STRING,ବାକ୍ୟ,baakya,string
KW_VOID,ଶୂନ୍ୟ,shuunya,void
KW_TRUE,ସତ୍ୟ,satya,true
KW_FALSE,ମିଥ୍ୟା,mithyaa,false
KW_NULL,ଖାଲି,khaali,null
KW_FUNC,କାର୍ଯ୍ୟ,kaaryya,function
KW_PROC,ପ୍ରକ୍ରିୟା,prakriyaa,procedure
KW_CALL,ଡାକ,daaka,call
KW_PARAM,ପ୍ରାଚଳ,praacala,param
KW_LAMBDA,ଅନାମ,anaama,lambda
KW_YIELD,ଦିଅ,dia,yield
KW_AWAIT,ଅପେକ୍ଷା,apeek_saa,await
KW_ASYNC,ଅସମକାଳିକ,asamakaalika,async
KW_CLASS,ଶ୍ରେଣୀ,shree_nii,class
KW_OBJECT,ବସ୍ତୁ,bastu,object
KW_INTERFACE,ଅନ୍ତରମୁଖ,antaramukha,interface
KW_EXTENDS,ବିସ୍ତାର,bistaara,extends
KW_IMPLEMENTS,କାର୍ଯ୍ୟକାରୀ,kaaryyakaarii,implements
KW_NEW,ନୂତନ,nuutana,new
KW_THIS,ଏହି,eehi,this
KW_SUPER,ପରମ,parama,super
KW_PUBLIC,ସର୍ବସାଧାରଣ,sarbasaadhaara_na,public
KW_PRIVATE,ବ୍ୟକ୍ତିଗତ,byaktigata,private
KW_PROTECTED,ସୁରକ୍ଷିତ,surak_sita,protected
KW_STATIC,ସ୍ଥିର,sthira,static
KW_ABSTRACT,ଅମୂର୍ତ,amuurta,abstract
KW_VIRTUAL,ଆଭାସୀ,aabhaasii,virtual
KW_OVERRIDE,ଅଧିରୋହଣ,adhirauha_na,override
KW_MATCH,ମିଳାଅ,milaaa,match
KW_WHEN,ଯେତେବେଳେ,yeeteebeelee,when
KW_FUN,ଫଳନ,phala_na,fun
KW_REC,ପୁନରାବର୍ତୀ,punaraabartii,rec
KW_IN,ଭିତରେ,bhitaree,in
KW_WHERE,କେଉଁଠି,keeu_nthi,where
