# language_name: Sanskrit
# code: sanskrit
# iso639: san
# script: Devanagari
# speakers: liturgical + scholarly (classical)
construct_id,native_keyword,romenagri,note
KW_IF,यदि,yadi,if
KW_ELSE,अन्यथा,anyathaa,else
KW_ELIF,नोचेद्यदि,naucheedyadi,elif
KW_WHILE,यावत्,yaavat,while
KW_DO,कुरु,kuru,do
KW_FOR,प्रति,prati,for
KW_BREAK,भङ्ग,bha_nga,break
KW_CONTINUE,अनुवर्त,anuvarta,continue
KW_SWITCH,विकल्प,vikalpa,switch
KW_CASE,पक्ष,pak_sa,case
KW_DEFAULT,स्वभाव,svabhaava,default
KW_RETURN,प्रत्यागम,pratyaagama,return
KW_GOTO,गच्छ,gaccha,goto
KW_VAR,चर,cara,var
KW_CONST,ध्रुव,dhruva,const
KW_LET,अस्तु,astu,let
KW_INT,पूर्णाङ्क,puur_naa_nka,int
KW_FLOAT,भिन्न,bhinna,float
KW_DOUBLE,द्विगुण,dviguu_na,double
KW_CHAR,वर्ण,var_na,char
KW_BOOL,तार्किक,taarkika,bool
KW_STRING,पदावली,padaavalii,string
KW_VOID,शून्य,shuunya,void
KW_TRUE,सत्य,satya,true
KW_FALSE,असत्य,asatya,false
KW_NULL,रिक्त,rikta,null
KW_FUNC,क्रिया,kriyaa,function
KW_PROC,विधि,vidhi,procedure
KW_CALL,आह्वान,aahvaana,call
KW_PARAM,प्राचल,praacala,param
KW_LAMBDA,अनामन्,anaaman,lambda
KW_YIELD,दा,daa,yield
KW_AWAIT,प्रतीक्ष,pratiik_sa,await
KW_ASYNC,असमकाल,asamakaala,async
KW_CLASS,वर्ग,varga,class
KW_OBJECT,वस्तु,vastu,object
KW_INTERFACE,सन्धि,sandhi,interface
KW_EXTENDS,विस्तृत,vistr_ta,extends
KW_IMPLEMENTS,निष्पादित,ni_spaadita,implements
KW_NEW,नूतन,nuutana,new
KW_THIS,एतत्,eetat,this
KW_SUPER,पर,para,super
KW_PUBLIC,सार्वजनिक,saarvajanika,public
KW_PRIVATE,गुप्त,gupta,private
KW_PROTECTED,रक्षित,rak_sita,protected
KW_STATIC,स्थिर,sthira,static
KW_ABSTRACT,अमूर्त,amuurta,abstract
KW_VIRTUAL,आभास,aabhaasa,virtual
KW_OVERRIDE,अधिरोह,adhirauha,override
KW_MATCH,मेल,meela,match
KW_WHEN,यदा,yadaa,when
KW_FUN,फल,phala,fun
KW_REC,पुनरावृत्त,punaraavr_tta,rec
KW_IN,अन्तः,anta_h,in
KW_WHERE,यत्र,yatra,where
KW_DATA,दत्त,datta,data
KW_TYPE,प्रकार,prakaara,type
KW_MODULE,खण्ड,kha_nda,module
KW_RULE,सूत्र,suutra,rule
KW_FACT,तथ्य,tathya,fact
KW_QUERY,प्रश्न,prashna,query
KW_NOT,न,na,not
KW_AND,च,ca,and
KW_OR,वा,vaa,or
KW_THREAD,तन्तु,tantu,thread
KW_SPAWN,उत्पाद,utpaada,spawn
KW_LOCK,तालक,taalaka,lock
KW_SYNC,समकाल,samakaala,synchronized
KW_CHANNEL,मार्ग,maarga,channel
KW_SELECT,वृणु,vr_nu,select
KW_PTR,निर्देशक,nirdeeshaka,pointer
KW_REF,सन्दर्भ,sandarbha,ref
KW_ALLOC,आवण्टन,aava_ntana,alloc
KW_FREE,मुक्त,mukta,free
KW_SIZEOF,परिमाण,parimaa_na,sizeof
KW_STRUCT,संरचना,sa_nracanaa,struct
KW_UNION,सङ्घ,sa_ngha,union
KW_ENUM,गणना,ga_nanaa,enum
KW_TYPEDEF,प्रकारनिर्देश,prakaaranirdeesha,typedef
KW_VOLATILE,चञ्चल,ca_ncala,volatile
KW_REGISTER,पञ्जिका,pa_njikaa,register
KW_EXTERN,बाह्य,baahya,extern
KW_INLINE,अन्तःस्थ,anta_hstha,inline
KW_ENTITY,सत्ता,sattaa,entity
KW_ARCH,स्थापत्य,sthaapatya,architecture
KW_SIGNAL,सङ्केत,sa_nkeeta,signal
KW_PORT,द्वार,dvaara,port
KW_WIRE,तन्तु,tantu,wire
KW_REG,पञ्जी,pa_njii,reg
KW_MODULE_HW,अंश,a_nsha,module
KW_ALWAYS,सदा,sadaa,always
KW_ASSIGN,नियुक्त,niyukta,assign
KW_BEGIN,आरम्भ,aarambha,begin
KW_END,अन्त,anta,end
KW_TRY,यत्न,yatna,try
KW_CATCH,गृहाण,gr_haa_na,catch
KW_FINALLY,अन्ततः,antata_h,finally
KW_THROW,क्षिप,k_sipa,throw
KW_RAISE,उत्थापय,utthaapaya,raise
KW_EXCEPT,अपवाद,apavaada,except
KW_IMPORT,आनयन,aanayana,import
KW_EXPORT,निर्यापण,niryaapa_na,export
KW_PACKAGE,पुटक,putaka,package
KW_NAMESPACE,नामाकाश,naamaakaasha,namespace
KW_USE,उपयोग,upayauga,use
KW_INCLUDE,अन्तर्भाव,antarbhaava,include
KW_FROM,तः,ta_h,from
KW_AS,इव,iva,as
KW_KERNEL,बीज,biija,gpu kernel
KW_DEVICE,यन्त्र,yantra,device
KW_HOST,आतिथेय,aatitheeya,host
KW_GLOBAL,वैश्विक,vaishvika,global
KW_SHARED,सहभाजित,sahabhaajita,shared
KW_THREADIDX,तन्त्वङ्क,tantva_nka,thread index
KW_BLOCKIDX,खण्डाङ्क,kha_ndaa_nka,block index
KW_GRID,जाल,jaala,grid
KW_BARRIER,अवरोध,avaurudha,barrier
KW_ATOMIC,आणविक,aa_navika,atomic
KW_WARP,तन्तुसमूह,tantusamuuha,warp
KW_TENSOR,प्रदिश,pradisha,tensor
KW_MATRIX,आव्यूह,aavyuuha,matrix
KW_VECTOR,सदिश,sadisha,vector
KW_GRAD,प्रवणता,prava_nataa,gradient
KW_BACKPROP,प्रतिप्रसार,pratiprasaara,backprop
KW_FORWARD,अग्रप्रसार,agraprasaara,forward
KW_LAYER,स्तर,stara,layer
KW_MODEL,प्रतिमान,pratimaana,model
KW_TRAIN,प्रशिक्षण,prashik_sa_na,train
KW_INFER,अनुमान,anumaana,infer
KW_LOSS,हानि,haani,loss
KW_OPTIMIZE,अनुकूलन,anukuulana,optimize
KW_ACTIVATION,सक्रियण,sakriya_na,activation
KW_WEIGHT,भार,bhaara,weight
KW_BIAS,पक्षपात,pak_sapaata,bias
KW_EPOCH,कल्प,kalpa,epoch
KW_BATCH,पुञ्ज,pu_nja,batch
KW_DATASET,दत्तसमूह,dattasamuuha,dataset
KW_EMBED,निवेशन,niveeshana,embed
KW_ATTENTION,अवधान,avadhaana,attention
KW_PIN,कीलक,kiilaka,pin
KW_READ,पठ,patha,read
KW_WRITE,लिख,likha,write
KW_ANALOG,सदृश,sadr_sha,analog
KW_DIGITAL,अङ्कीय,a_nkiiya,digital
KW_PWM,स्पन्दविस्तार,spandavistaara,pwm
KW_INTERRUPT,विघ्न,vighna,interrupt
KW_TIMER,कालयन्त्र,kaalayantra,timer
KW_SENSOR,संवेदक,sa_nveedaka,sensor
KW_ACTUATOR,प्रवर्तक,pravartaka,actuator
KW_BUS,मार्ग,maarga,bus
KW_PROTOCOL,नियमावली,niyamaavalii,protocol
KW_SLEEP,सुषुप्ति,su_supti,sleep
KW_WAKE,जागृ,jaagr_,wake
KW_MOTOR,चालक,caalaka,motor
KW_SERVO,अनुचालक,anucaalaka,servo
