# language_name: Sinhala
# code: sinhala
# iso639: sin
# script: Sinhala
# speakers: 17M
construct_id,native_keyword,romenagri,note
KW_IF,yadi,yadi,romenagri_pending_sinhala
KW_ELSE,anyathaa,anyathaa,romenagri_pending_sinhala
KW_ELIF,naucheedyadi,naucheedyadi,romenagri_pending_sinhala
KW_WHILE,yaavat,yaavat,romenagri_pending_sinhala
KW_DO,kuru,kuru,romenagri_pending_sinhala
KW_FOR,prati,prati,romenagri_pending_sinhala
KW_BREAK,bha_nga,bha_nga,romenagri_pending_sinhala
KW_CONTINUE,anuvarta,anuvarta,romenagri_pending_sinhala
KW_SWITCH,vikalpa,vikalpa,romenagri_pending_sinhala
KW_CASE,pak_sa,pak_sa,romenagri_pending_sinhala
KW_DEFAULT,svabhaava,svabhaava,romenagri_pending_sinhala
KW_RETURN,pratyaagama,pratyaagama,romenagri_pending_sinhala
KW_GOTO,gaccha,gaccha,romenagri_pending_sinhala
KW_VAR,cara,cara,romenagri_pending_sinhala
KW_CONST,dhruva,dhruva,romenagri_pending_sinhala
KW_LET,astu,astu,romenagri_pending_sinhala
KW_INT,puur_naa_nka,puur_naa_nka,romenagri_pending_sinhala
KW_FLOAT,bhinna,bhinna,romenagri_pending_sinhala
KW_DOUBLE,dviguu_na,dviguu_na,romenagri_pending_sinhala
KW_CHAR,var_na,var_na,romenagri_pending_sinhala
KW_BOOL,taarkika,taarkika,romenagri_pending_sinhala
KW_STRING,padaavalii,padaavalii,romenagri_pending_sinhala
KW_VOID,shuunya,shuunya,romenagri_pending_sinhala
KW_TRUE,satya,satya,romenagri_pending_sinhala
KW_FALSE,asatya,asatya,romenagri_pending_sinhala
KW_NULL,rikta,rikta,romenagri_pending_sinhala
KW_FUNC,kriyaa,kriyaa,romenagri_pending_sinhala
KW_PROC,vidhi,vidhi,romenagri_pending_sinhala
KW_CALL,aahvaana,aahvaana,romenagri_pending_sinhala
KW_PARAM,praacala,praacala,romenagri_pending_sinhala
KW_LAMBDA,anaaman,anaaman,romenagri_pending_sinhala
KW_YIELD,daa,daa,romenagri_pending_sinhala
KW_AWAIT,pratiik_sa,pratiik_sa,romenagri_pending_sinhala
KW_ASYNC,asamakaala,asamakaala,romenagri_pending_sinhala
KW_CLASS,varga,varga,romenagri_pending_sinhala
KW_OBJECT,vastu,vastu,romenagri_pending_sinhala
KW_INTERFACE,sandhi,sandhi,romenagri_pending_sinhala
KW_EXTENDS,vistr_ta,vistr_ta,romenagri_pending_sinhala
KW_IMPLEMENTS,ni_spaadita,ni_spaadita,romenagri_pending_sinhala
KW_NEW,nuutana,nuutana,romenagri_pending_sinhala
KW_THIS,eetat,eetat,romenagri_pending_sinhala
KW_SUPER,para,para,romenagri_pending_sinhala
KW_PUBLIC,saarvajanika,saarvajanika,romenagri_pending_sinhala
KW_PRIVATE,gupta,gupta,romenagri_pending_sinhala
KW_PROTECTED,rak_sita,rak_sita,romenagri_pending_sinhala
KW_STATIC,sthira,sthira,romenagri_pending_sinhala
KW_ABSTRACT,amuurta,amuurta,romenagri_pending_sinhala
KW_VIRTUAL,aabhaasa,aabhaasa,romenagri_pending_sinhala
KW_OVERRIDE,adhirauha,adhirauha,romenagri_pending_sinhala
KW_MATCH,meela,meela,romenagri_pending_sinhala
KW_WHEN,yadaa,yadaa,romenagri_pending_sinhala
KW_FUN,phala,phala,romenagri_pending_sinhala
KW_REC,punaraavr_tta,punaraavr_tta,romenagri_pending_sinhala
KW_IN,anta_h,anta_h,romenagri_pending_sinhala
KW_WHERE,yatra,yatra,romenagri_pending_sinhala
KW_DATA,datta,datta,romenagri_pending_sinhala
KW_TYPE,prakaara,prakaara,romenagri_pending_sinhala
KW_MODULE,kha_nda,kha_nda,romenagri_pending_sinhala
KW_RULE,suutra,suutra,romenagri_pending_sinhala
KW_FACT,tathya,tathya,romenagri_pending_sinhala
KW_QUERY,prashna,prashna,romenagri_pending_sinhala
KW_NOT,na,na,romenagri_pending_sinhala
KW_AND,ca,ca,romenagri_pending_sinhala
KW_OR,vaa,vaa,romenagri_pending_sinhala
KW_THREAD,tantu,tantu,romenagri_pending_sinhala
KW_SPAWN,utpaada,utpaada,romenagri_pending_sinhala
KW_LOCK,taalaka,taalaka,romenagri_pending_sinhala
KW_SYNC,samakaala,samakaala,romenagri_pending_sinhala
KW_CHANNEL,maarga,maarga,romenagri_pending_sinhala
KW_SELECT,vr_nu,vr_nu,romenagri_pending_sinhala
KW_PTR,nirdeeshaka,nirdeeshaka,romenagri_pending_sinhala
KW_REF,sandarbha,sandarbha,romenagri_pending_sinhala
KW_ALLOC,aava_ntana,aava_ntana,romenagri_pending_sinhala
KW_FREE,mukta,mukta,romenagri_pending_sinhala
KW_SIZEOF,parimaa_na,parimaa_na,romenagri_pending_sinhala
KW_STRUCT,sa_nracanaa,sa_nracanaa,romenagri_pending_sinhala
KW_UNION,sa_ngha,sa_ngha,romenagri_pending_sinhala
KW_ENUM,ga_nanaa,ga_nanaa,romenagri_pending_sinhala
KW_TYPEDEF,prakaaranirdeesha,prakaaranirdeesha,romenagri_pending_sinhala
KW_VOLATILE,ca_ncala,ca_ncala,romenagri_pending_sinhala
KW_REGISTER,pa_njikaa,pa_njikaa,romenagri_pending_sinhala
KW_EXTERN,baahya,baahya,romenagri_pending_sinhala
KW_INLINE,anta_hstha,anta_hstha,romenagri_pending_sinhala
KW_ENTITY,sattaa,sattaa,romenagri_pending_sinhala
KW_ARCH,sthaapatya,sthaapatya,romenagri_pending_sinhala
KW_SIGNAL,sa_nkeeta,sa_nkeeta,romenagri_pending_sinhala
KW_PORT,dvaara,dvaara,romenagri_pending_sinhala
KW_WIRE,tantu,tantu,romenagri_pending_sinhala
KW_REG,pa_njii,pa_njii,romenagri_pending_sinhala
KW_MODULE_HW,a_nsha,a_nsha,romenagri_pending_sinhala
KW_ALWAYS,sadaa,sadaa,romenagri_pending_sinhala
KW_ASSIGN,niyukta,niyukta,romenagri_pending_sinhala
KW_BEGIN,aarambha,aarambha,romenagri_pending_sinhala
KW_END,anta,anta,romenagri_pending_sinhala
KW_TRY,yatna,yatna,romenagri_pending_sinhala
KW_CATCH,gr_haa_na,gr_haa_na,romenagri_pending_sinhala
KW_FINALLY,antata_h,antata_h,romenagri_pending_sinhala
KW_THROW,k_sipa,k_sipa,romenagri_pending_sinhala
KW_RAISE,utthaapaya,utthaapaya,romenagri_pending_sinhala
KW_EXCEPT,apavaada,apavaada,romenagri_pending_sinhala
KW_IMPORT,aanayana,aanayana,romenagri_pending_sinhala
KW_EXPORT,niryaapa_na,niryaapa_na,romenagri_pending_sinhala
KW_PACKAGE,putaka,putaka,romenagri_pending_sinhala
KW_NAMESPACE,naamaakaasha,naamaakaasha,romenagri_pending_sinhala
KW_USE,upayauga,upayauga,romenagri_pending_sinhala
KW_INCLUDE,antarbhaava,antarbhaava,romenagri_pending_sinhala
KW_FROM,ta_h,ta_h,romenagri_pending_sinhala
KW_AS,iva,iva,romenagri_pending_sinhala
KW_KERNEL,biija,biija,romenagri_pending_sinhala
KW_DEVICE,yantra,yantra,romenagri_pending_sinhala
KW_HOST,aatitheeya,aatitheeya,romenagri_pending_sinhala
KW_GLOBAL,vaishvika,vaishvika,romenagri_pending_sinhala
KW_SHARED,sahabhaajita,sahabhaajita,romenagri_pending_sinhala
KW_THREADIDX,tantva_nka,tantva_nka,romenagri_pending_sinhala
KW_BLOCKIDX,kha_ndaa_nka,kha_ndaa_nka,romenagri_pending_sinhala
KW_GRID,jaala,jaala,romenagri_pending_sinhala
KW_BARRIER,avaurudha,avaurudha,romenagri_pending_sinhala
KW_ATOMIC,aa_navika,aa_navika,romenagri_pending_sinhala
KW_WARP,tantusamuuha,tantusamuuha,romenagri_pending_sinhala
KW_TENSOR,pradisha,pradisha,romenagri_pending_sinhala
KW_MATRIX,aavyuuha,aavyuuha,romenagri_pending_sinhala
KW_VECTOR,sadisha,sadisha,romenagri_pending_sinhala
KW_GRAD,prava_nataa,prava_nataa,romenagri_pending_sinhala
KW_BACKPROP,pratiprasaara,pratiprasaara,romenagri_pending_sinhala
KW_FORWARD,agraprasaara,agraprasaara,romenagri_pending_sinhala
KW_LAYER,stara,stara,romenagri_pending_sinhala
KW_MODEL,pratimaana,pratimaana,romenagri_pending_sinhala
KW_TRAIN,prashik_sa_na,prashik_sa_na,romenagri_pending_sinhala
KW_INFER,anumaana,anumaana,romenagri_pending_sinhala
KW_LOSS,haani,haani,romenagri_pending_sinhala
KW_OPTIMIZE,anukuulana,anukuulana,romenagri_pending_sinhala
KW_ACTIVATION,sakriya_na,sakriya_na,romenagri_pending_sinhala
KW_WEIGHT,bhaara,bhaara,romenagri_pending_sinhala
KW_BIAS,pak_sapaata,pak_sapaata,romenagri_pending_sinhala
KW_EPOCH,kalpa,kalpa,romenagri_pending_sinhala
KW_BATCH,pu_nja,pu_nja,romenagri_pending_sinhala
KW_DATASET,dattasamuuha,dattasamuuha,romenagri_pending_sinhala
KW_EMBED,niveeshana,niveeshana,romenagri_pending_sinhala
KW_ATTENTION,avadhaana,avadhaana,romenagri_pending_sinhala
KW_PIN,kiilaka,kiilaka,romenagri_pending_sinhala
KW_READ,patha,patha,romenagri_pending_sinhala
KW_WRITE,likha,likha,romenagri_pending_sinhala
KW_ANALOG,sadr_sha,sadr_sha,romenagri_pending_sinhala
KW_DIGITAL,a_nkiiya,a_nkiiya,romenagri_pending_sinhala
KW_PWM,spandavistaara,spandavistaara,romenagri_pending_sinhala
KW_INTERRUPT,vighna,vighna,romenagri_pending_sinhala
KW_TIMER,kaalayantra,kaalayantra,romenagri_pending_sinhala
KW_SENSOR,sa_nveedaka,sa_nveedaka,romenagri_pending_sinhala
KW_ACTUATOR,pravartaka,pravartaka,romenagri_pending_sinhala
KW_BUS,maarga,maarga,romenagri_pending_sinhala
KW_PROTOCOL,niyamaavalii,niyamaavalii,romenagri_pending_sinhala
KW_SLEEP,su_supti,su_supti,romenagri_pending_sinhala
KW_WAKE,jaagr_,jaagr_,romenagri_pending_sinhala
KW_MOTOR,caalaka,caalaka,romenagri_pending_sinhala
KW_SERVO,anucaalaka,anucaalaka,romenagri_pending_sinhala
KW_JOINT,sandhi,sandhi,romenagri_pending_sinhala
KW_POSE,mudraa,mudraa,romenagri_pending_sinhala
KW_TRAJECTORY,prak_seepapatha,prak_seepapatha,romenagri_pending_sinhala
KW_FEEDBACK,pratipu_sti,pratipu_sti,romenagri_pending_sinhala
KW_PID,niyantraka,niyantraka,romenagri_pending_sinhala
KW_DEADLINE,kaalasiimaa,kaalasiimaa,romenagri_pending_sinhala
KW_PERIODIC,aavartika,aavartika,romenagri_pending_sinhala
KW_PRIORITY,praathamya,praathamya,romenagri_pending_sinhala
KW_ACTUATE,pravartaya,pravartaya,romenagri_pending_sinhala
KW_PERCEIVE,pratyak_sa,pratyak_sa,romenagri_pending_sinhala
KW_PLAN,yaujanaa,yaujanaa,romenagri_pending_sinhala
KW_STREAM,dhaaraa,dhaaraa,romenagri_pending_sinhala
KW_PIPE,pra_naala,pra_naala,romenagri_pending_sinhala
KW_MAP,praticitra,praticitra,romenagri_pending_sinhala
KW_FILTER,chaala,chaala,romenagri_pending_sinhala
KW_REDUCE,nyuuniikr_,nyuuniikr_,romenagri_pending_sinhala
KW_FOLD,sa_nvee_sta,sa_nvee_sta,romenagri_pending_sinhala
KW_OBSERVE,niriik_sa,niriik_sa,romenagri_pending_sinhala
KW_EMIT,utsr_ja,utsr_ja,romenagri_pending_sinhala
KW_SUBSCRIBE,abhiniveesha,abhiniveesha,romenagri_pending_sinhala
KW_DEBOUNCE,spandashaudhana,spandashaudhana,romenagri_pending_sinhala
KW_OWN,svaamitva,svaamitva,romenagri_pending_sinhala
KW_BORROW,r_na,r_na,romenagri_pending_sinhala
KW_MOVE,sthaanaantara,sthaanaantara,romenagri_pending_sinhala
KW_MUT,parivartya,parivartya,romenagri_pending_sinhala
KW_LIFETIME,aayu_skaala,aayu_skaala,romenagri_pending_sinhala
KW_ARENA,k_seetra,k_seetra,romenagri_pending_sinhala
KW_GC,malasa_ngraha,malasa_ngraha,romenagri_pending_sinhala
KW_PIN_MEM,smr_tikiilaka,smr_tikiilaka,romenagri_pending_sinhala
KW_REQUIRES,apeek_satee,apeek_satee,romenagri_pending_sinhala
KW_ENSURES,sunishcayati,sunishcayati,romenagri_pending_sinhala
KW_INVARIANT,aparivartya,aparivartya,romenagri_pending_sinhala
KW_ASSERT,pratijnyaa,pratijnyaa,romenagri_pending_sinhala
KW_ASSUME,adhyavasyati,adhyavasyati,romenagri_pending_sinhala
KW_PROVE,saadhayati,saadhayati,romenagri_pending_sinhala
KW_REFINES,pari_skarauti,pari_skarauti,romenagri_pending_sinhala
KW_MODEL_CHECK,pratimaanapariik_saa,pratimaanapariik_saa,romenagri_pending_sinhala
KW_NODE,granthi,granthi,romenagri_pending_sinhala
KW_REPLICA,pratikr_ti,pratikr_ti,romenagri_pending_sinhala
KW_CONSENSUS,sarvasammati,sarvasammati,romenagri_pending_sinhala
KW_SHARD,kha_nda,kha_nda,romenagri_pending_sinhala
KW_GOSSIP,janavaada,janavaada,romenagri_pending_sinhala
KW_LEADER,naayaka,naayaka,romenagri_pending_sinhala
KW_RPC,duuraprakriyaa,duuraprakriyaa,romenagri_pending_sinhala
KW_ACTOR,kartr_,kartr_,romenagri_pending_sinhala
KW_MESSAGE,sandeesha,sandeesha,romenagri_pending_sinhala
