# language_name: Tagalog
# code: tagalog
# iso639: tgl
# script: Baybayin
# speakers: 28M
construct_id,native_keyword,romenagri,note
KW_IF,yadi,yadi,romenagri_pending_baybayin
KW_ELSE,anyathaa,anyathaa,romenagri_pending_baybayin
KW_ELIF,naucheedyadi,naucheedyadi,romenagri_pending_baybayin
KW_WHILE,yaavat,yaavat,romenagri_pending_baybayin
KW_DO,kuru,kuru,romenagri_pending_baybayin
KW_FOR,prati,prati,romenagri_pending_baybayin
KW_BREAK,bha_nga,bha_nga,romenagri_pending_baybayin
KW_CONTINUE,anuvarta,anuvarta,romenagri_pending_baybayin
KW_SWITCH,vikalpa,vikalpa,romenagri_pending_baybayin
KW_CASE,pak_sa,pak_sa,romenagri_pending_baybayin
KW_DEFAULT,svabhaava,svabhaava,romenagri_pending_baybayin
KW_RETURN,pratyaagama,pratyaagama,romenagri_pending_baybayin
KW_GOTO,gaccha,gaccha,romenagri_pending_baybayin
KW_VAR,cara,cara,romenagri_pending_baybayin
KW_CONST,dhruva,dhruva,romenagri_pending_baybayin
KW_LET,astu,astu,romenagri_pending_baybayin
KW_INT,puur_naa_nka,puur_naa_nka,romenagri_pending_baybayin
KW_FLOAT,bhinna,bhinna,romenagri_pending_baybayin
KW_DOUBLE,dviguu_na,dviguu_na,romenagri_pending_baybayin
KW_CHAR,var_na,var_na,romenagri_pending_baybayin
KW_BOOL,taarkika,taarkika,romenagri_pending_baybayin
KW_STRING,padaavalii,padaavalii,romenagri_pending_baybayin
KW_VOID,shuunya,shuunya,romenagri_pending_baybayin
KW_TRUE,satya,satya,romenagri_pending_baybayin
KW_FALSE,asatya,asatya,romenagri_pending_baybayin
KW_NULL,rikta,rikta,romenagri_pending_baybayin
KW_FUNC,kriyaa,kriyaa,romenagri_pending_baybayin
KW_PROC,vidhi,vidhi,romenagri_pending_baybayin
KW_CALL,aahvaana,aahvaana,romenagri_pending_baybayin
KW_PARAM,praacala,praacala,romenagri_pending_baybayin
KW_LAMBDA,anaaman,anaaman,romenagri_pending_baybayin
KW_YIELD,daa,daa,romenagri_pending_baybayin
KW_AWAIT,pratiik_sa,pratiik_sa,romenagri_pending_baybayin
