# language_name: Tamil
# code: tamil
# iso639: tam
# script: Tamil
# speakers: 80 million
construct_id,native_keyword,romenagri,note
KW_IF,எனில்,enila,if
KW_ELSE,இல்லையெனில்,illaiyenila,else
KW_ELIF,அல்லதெனில்,allatenila,elif
KW_WHILE,வரை,varai,while
KW_DO,செய்,sey,do
KW_FOR,க்கு,kku,for
KW_BREAK,நிறுத்து,niruttu,break
KW_CONTINUE,தொடர்,todara,continue
KW_SWITCH,தேர்வு,teervu,switch
KW_CASE,நிலை,nilai,case
KW_DEFAULT,இயல்பு,iyalpu,default
KW_RETURN,திரும்பு,tirumpu,return
KW_GOTO,செல்,sela,goto
KW_VAR,மாறி,maari,var
KW_CONST,மாறிலி,maarili,const
KW_LET,கொள்,kola,let
KW_INT,முழு,muzu,int
KW_FLOAT,தசம,tasama,float
KW_DOUBLE,இரட்டை,irattai,double
KW_CHAR,எழுத்து,ezuttu,char
KW_BOOL,தருக்க,tarukka,bool
KW_STRING,சரம்,sarama,string
KW_VOID,வெறுமை,verumai,void
KW_TRUE,உண்மை,unmai,true
KW_FALSE,பொய்,poy,false
KW_NULL,வெற்று,verru,null
KW_FUNC,செயல்,seyala,function
KW_PROC,நடைமுறை,nadaimurai,procedure
KW_CALL,அழை,azai,call
KW_PARAM,அளபுரு,alapuru,param
KW_LAMBDA,பெயரிலி,peyarili,lambda
KW_YIELD,தா,taa,yield
KW_AWAIT,காத்திரு,kaattiru,await
KW_ASYNC,ஒத்திசையா,ottisaiyaa,async
KW_CLASS,வகுப்பு,vakuppu,class
KW_OBJECT,பொருள்,porula,object
KW_INTERFACE,இடைமுகம்,idaimukama,interface
KW_EXTENDS,நீட்டிக்கும்,niittikkuma,extends
KW_IMPLEMENTS,செயல்படுத்து,seyalpaduttu,implements
KW_NEW,புதிய,putiya,new
KW_THIS,இது,itu,this
KW_SUPER,மேல்,meela,super
KW_PUBLIC,பொது,potu,public
KW_PRIVATE,தனிப்பட்ட,tanippatta,private
KW_PROTECTED,பாதுகாக்கப்பட்ட,paatukaakkappatta,protected
KW_STATIC,நிலையான,nilaiyaana,static
KW_ABSTRACT,சுருக்க,surukka,abstract
KW_VIRTUAL,மெய்நிகர்,meynikara,virtual
KW_OVERRIDE,மேலெழுது,meelezutu,override
KW_MATCH,பொருத்து,poruttu,match
KW_WHEN,போது,pootu,when
KW_FUN,சார்பு,saarpu,fun
KW_REC,சுழல்,suzala,rec
KW_IN,உள்,ula,in
KW_WHERE,எங்கு,e_nku,where
KW_DATA,தரவு,taravu,data
