# language_name: Tulu
# code: tulu
# iso639: tcy
# script: Kannada
# speakers: 2M
construct_id,native_keyword,romenagri,note
KW_IF,ಯದಿ,yadi,tatsama<sanskrit
KW_ELSE,ಅನ್ಯಥಾ,anyathaa,tatsama<sanskrit
KW_ELIF,ನೋಚೇದ್ಯದಿ,naucheedyadi,tatsama<sanskrit
KW_WHILE,ಯಾವತ್,yaavat,tatsama<sanskrit
KW_DO,ಕುರು,kuru,tatsama<sanskrit
KW_FOR,ಪ್ರತಿ,prati,tatsama<sanskrit
KW_BREAK,ಭಙ್ಗ,bha_nga,tatsama<sanskrit
KW_CONTINUE,ಅನುವರ್ತ,anuvarta,tatsama<sanskrit
KW_SWITCH,ವಿಕಲ್ಪ,vikalpa,tatsama<sanskrit
KW_CASE,ಪಕ್ಷ,pak_sa,tatsama<sanskrit
KW_DEFAULT,ಸ್ವಭಾವ,svabhaava,tatsama<sanskrit
KW_RETURN,ಪ್ರತ್ಯಾಗಮ,pratyaagama,tatsama<sanskrit
KW_GOTO,ಗಚ್ಛ,gaccha,tatsama<sanskrit
KW_VAR,ಚರ,cara,tatsama<sanskrit
KW_CONST,ಧ್ರುವ,dhruva,tatsama<sanskrit
KW_LET,ಅಸ್ತು,astu,tatsama<sanskrit
KW_INT,ಪೂರ್ಣಾಙ್ಕ,puur_naa_nka,tatsama<sanskrit
KW_FLOAT,ಭಿನ್ನ,bhinna,tatsama<sanskrit
KW_DOUBLE,ದ್ವಿಗುಣ,dviguu_na,tatsama<sanskrit
KW_CHAR,ವರ್ಣ,var_na,tatsama<sanskrit
KW_BOOL,ತಾರ್ಕಿಕ,taarkika,tatsama<sanskrit
KW_STRING,ಪದಾವಲೀ,padaavalii,tatsama<sanskrit
KW_VOID,ಶೂನ್ಯ,shuunya,tatsama<sanskrit
KW_TRUE,ಸತ್ಯ,satya,tatsama<sanskrit
KW_FALSE,ಅಸತ್ಯ,asatya,tatsama<sanskrit
KW_NULL,ರಿಕ್ತ,rikta,tatsama<sanskrit
KW_FUNC,ಕ್ರಿಯಾ,kriyaa,tatsama<sanskrit
KW_PROC,ವಿಧಿ,vidhi,tatsama<sanskrit
KW_CALL,ಆಹ್ವಾನ,aahvaana,tatsama<sanskrit
KW_PARAM,ಪ್ರಾಚಲ,praacala,tatsama<sanskrit
