script	letters	mapped	coverage%	rt_exact%	rt_canon%	note
AHOM	45	40	88.9	100.0	100.0	name-projected
BALINESE	70	17	24.3	100.0	100.0	name-projected
BENGALI	69	65	94.2	100.0	100.0	ISCII-aligned
BHAIKSUKI	61	61	100.0	100.0	100.0	name-projected
BRAHMI	74	63	85.1	100.0	100.0	name-projected
CHAM	62	42	67.7	100.0	100.0	name-projected
DIVES AKURU	52	51	98.1	100.0	100.0	name-projected
DOGRA	58	58	100.0	100.0	100.0	name-projected
GRANTHA	71	60	84.5	100.0	100.0	name-projected
GUJARATI	67	67	100.0	100.0	100.0	ISCII-aligned
GURMUKHI	59	55	93.2	100.0	100.0	ISCII-aligned
JAVANESE	56	26	46.4	100.0	100.0	name-projected
KAITHI	58	58	100.0	100.0	100.0	name-projected
KANNADA	71	66	93.0	100.0	100.0	ISCII-aligned
KHMER	51	24	47.1	100.0	100.0	name-projected
KHOJKI	56	55	98.2	83.3	100.0	name-projected
KHUDAWADI	58	58	100.0	100.0	100.0	name-projected
LAO	60	9	15.0	0.0	0.0	name-projected
LIMBU	51	32	62.7	100.0	100.0	name-projected
MAHAJANI	35	35	100.0	100.0	100.0	name-projected
MALAYALAM	86	67	77.9	100.0	100.0	ISCII-aligned
MARCHEN	65	31	47.7	100.0	100.0	name-projected
MEETEI MAYEK	43	4	9.3	100.0	100.0	name-projected
MODI	64	64	100.0	100.0	100.0	name-projected
MULTANI	37	37	100.0	83.3	100.0	name-projected
MYANMAR	105	59	56.2	100.0	100.0	name-projected
NANDINAGARI	62	62	100.0	100.0	100.0	name-projected
NEWA	71	63	88.7	100.0	100.0	name-projected
OL CHIKI	30	1	3.3	0.0	0.0	name-projected
ORIYA	68	67	98.5	100.0	100.0	ISCII-aligned
SAURASHTRA	68	64	94.1	100.0	100.0	name-projected
SHARADA	65	65	100.0	100.0	100.0	name-projected
SIDDHAM	67	61	91.0	100.0	100.0	name-projected
SINHALA	76	0	0.0	0.0	0.0	name-projected
SOYOMBO	57	48	84.2	100.0	100.0	name-projected
SUNDANESE	44	29	65.9	83.3	83.3	name-projected
TAI THAM	72	24	33.3	100.0	100.0	name-projected
TAKRI	56	55	98.2	100.0	100.0	name-projected
TAMIL	49	45	91.8	100.0	100.0	ISCII-aligned
TELUGU	74	66	89.2	100.0	100.0	ISCII-aligned
THAI	0	0	0.0	0.0	0.0	name-projected
TIBETAN	103	46	44.7	100.0	100.0	name-projected
TIRHUTA	65	65	100.0	100.0	100.0	name-projected
ZANABAZAR SQUARE	58	46	79.3	100.0	100.0	name-projected
