script	projected	compiled	ran
ahom	91/110	OK	OK
balinese	52/110	OK	OK
bengali	106/110	OK	OK
bhaiksuki	108/110	OK	OK
brahmi	101/110	OK	OK
cham	88/110	OK	OK
dives_akuru	101/110	OK	OK
dogra	108/110	OK	OK
grantha	101/110	OK	OK
gujarati	108/110	OK	OK
gurmukhi	98/110	OK	OK
javanese	57/110	OK	OK
kaithi	108/110	OK	OK
kannada	108/110	OK	OK
khmer	53/110	OK	OK
khojki	101/110	OK	OK
khudawadi	107/110	OK	OK
lao	28/110	OK	OK
limbu	76/110	OK	OK
mahajani	65/110	OK	OK
malayalam	108/110	OK	OK
marchen	88/110	OK	OK
meetei_mayek	11/110	OK	OK
modi	108/110	OK	OK
multani	67/110	OK	OK
myanmar	100/110	OK	OK
nandinagari	108/110	OK	OK
newa	106/110	OK	OK
ol_chiki	4/110	OK	OK
oriya	108/110	OK	OK
saurashtra	108/110	OK	OK
sharada	108/110	OK	OK
siddham	108/110	OK	OK
sinhala	0/110	OK	OK
soyombo	87/110	OK	OK
sundanese	70/110	OK	OK
tai_tham	57/110	OK	OK
takri	107/110	OK	OK
tamil	101/110	OK	OK
telugu	108/110	OK	OK
thai	0/110	OK	OK
tibetan	94/110	OK	OK
tirhuta	108/110	OK	OK
zanabazar_square	94/110	OK	OK
