𑀁	ं	BRAHMI SIGN ANUSVARA
𑀂	ः	BRAHMI SIGN VISARGA
𑀅	अ	BRAHMI LETTER A
𑀆	आ	BRAHMI LETTER AA
𑀇	इ	BRAHMI LETTER I
𑀈	ई	BRAHMI LETTER II
𑀉	उ	BRAHMI LETTER U
𑀊	ऊ	BRAHMI LETTER UU
𑀋	ऋ	BRAHMI LETTER VOCALIC R
𑀌	ॠ	BRAHMI LETTER VOCALIC RR
𑀍	ऌ	BRAHMI LETTER VOCALIC L
𑀎	ॡ	BRAHMI LETTER VOCALIC LL
𑀏	ए	BRAHMI LETTER E
𑀐	ऐ	BRAHMI LETTER AI
𑀑	ओ	BRAHMI LETTER O
𑀒	औ	BRAHMI LETTER AU
𑀓	क	BRAHMI LETTER KA
𑀔	ख	BRAHMI LETTER KHA
𑀕	ग	BRAHMI LETTER GA
𑀖	घ	BRAHMI LETTER GHA
𑀗	ङ	BRAHMI LETTER NGA
𑀘	च	BRAHMI LETTER CA
𑀙	छ	BRAHMI LETTER CHA
𑀚	ज	BRAHMI LETTER JA
𑀛	झ	BRAHMI LETTER JHA
𑀜	ञ	BRAHMI LETTER NYA
𑀝	ट	BRAHMI LETTER TTA
𑀞	ठ	BRAHMI LETTER TTHA
𑀟	ड	BRAHMI LETTER DDA
𑀠	ढ	BRAHMI LETTER DDHA
𑀡	ण	BRAHMI LETTER NNA
𑀢	त	BRAHMI LETTER TA
𑀣	थ	BRAHMI LETTER THA
𑀤	द	BRAHMI LETTER DA
𑀥	ध	BRAHMI LETTER DHA
𑀦	न	BRAHMI LETTER NA
𑀧	प	BRAHMI LETTER PA
𑀨	फ	BRAHMI LETTER PHA
𑀩	ब	BRAHMI LETTER BA
𑀪	भ	BRAHMI LETTER BHA
𑀫	म	BRAHMI LETTER MA
𑀬	य	BRAHMI LETTER YA
𑀭	र	BRAHMI LETTER RA
𑀮	ल	BRAHMI LETTER LA
𑀯	व	BRAHMI LETTER VA
𑀰	श	BRAHMI LETTER SHA
𑀱	ष	BRAHMI LETTER SSA
𑀲	स	BRAHMI LETTER SA
𑀳	ह	BRAHMI LETTER HA
𑀴	ळ	BRAHMI LETTER LLA
𑀸	ा	BRAHMI VOWEL SIGN AA
𑀺	ि	BRAHMI VOWEL SIGN I
𑀻	ी	BRAHMI VOWEL SIGN II
𑀼	ु	BRAHMI VOWEL SIGN U
𑀽	ू	BRAHMI VOWEL SIGN UU
𑀾	ृ	BRAHMI VOWEL SIGN VOCALIC R
𑀿	ॄ	BRAHMI VOWEL SIGN VOCALIC RR
𑁀	ॢ	BRAHMI VOWEL SIGN VOCALIC L
𑁁	ॣ	BRAHMI VOWEL SIGN VOCALIC LL
𑁂	े	BRAHMI VOWEL SIGN E
𑁃	ै	BRAHMI VOWEL SIGN AI
𑁄	ो	BRAHMI VOWEL SIGN O
𑁅	ौ	BRAHMI VOWEL SIGN AU
