ં	ं	GUJARATI SIGN ANUSVARA
ઃ	ः	GUJARATI SIGN VISARGA
અ	अ	GUJARATI LETTER A
આ	आ	GUJARATI LETTER AA
ઇ	इ	GUJARATI LETTER I
ઈ	ई	GUJARATI LETTER II
ઉ	उ	GUJARATI LETTER U
ઊ	ऊ	GUJARATI LETTER UU
ઋ	ऋ	GUJARATI LETTER VOCALIC R
ઌ	ऌ	GUJARATI LETTER VOCALIC L
એ	ए	GUJARATI LETTER E
ઐ	ऐ	GUJARATI LETTER AI
ઓ	ओ	GUJARATI LETTER O
ઔ	औ	GUJARATI LETTER AU
ક	क	GUJARATI LETTER KA
ખ	ख	GUJARATI LETTER KHA
ગ	ग	GUJARATI LETTER GA
ઘ	घ	GUJARATI LETTER GHA
ઙ	ङ	GUJARATI LETTER NGA
ચ	च	GUJARATI LETTER CA
છ	छ	GUJARATI LETTER CHA
જ	ज	GUJARATI LETTER JA
ઝ	झ	GUJARATI LETTER JHA
ઞ	ञ	GUJARATI LETTER NYA
ટ	ट	GUJARATI LETTER TTA
ઠ	ठ	GUJARATI LETTER TTHA
ડ	ड	GUJARATI LETTER DDA
ઢ	ढ	GUJARATI LETTER DDHA
ણ	ण	GUJARATI LETTER NNA
ત	त	GUJARATI LETTER TA
થ	थ	GUJARATI LETTER THA
દ	द	GUJARATI LETTER DA
ધ	ध	GUJARATI LETTER DHA
ન	न	GUJARATI LETTER NA
પ	प	GUJARATI LETTER PA
ફ	फ	GUJARATI LETTER PHA
બ	ब	GUJARATI LETTER BA
ભ	भ	GUJARATI LETTER BHA
મ	म	GUJARATI LETTER MA
ય	य	GUJARATI LETTER YA
ર	र	GUJARATI LETTER RA
લ	ल	GUJARATI LETTER LA
ળ	ळ	GUJARATI LETTER LLA
વ	व	GUJARATI LETTER VA
શ	श	GUJARATI LETTER SHA
ષ	ष	GUJARATI LETTER SSA
સ	स	GUJARATI LETTER SA
હ	ह	GUJARATI LETTER HA
ા	ा	GUJARATI VOWEL SIGN AA
િ	ि	GUJARATI VOWEL SIGN I
ી	ी	GUJARATI VOWEL SIGN II
ુ	ु	GUJARATI VOWEL SIGN U
ૂ	ू	GUJARATI VOWEL SIGN UU
ૃ	ृ	GUJARATI VOWEL SIGN VOCALIC R
ૄ	ॄ	GUJARATI VOWEL SIGN VOCALIC RR
ૅ	ॅ	GUJARATI VOWEL SIGN CANDRA E
ે	े	GUJARATI VOWEL SIGN E
ૈ	ै	GUJARATI VOWEL SIGN AI
ૉ	ॉ	GUJARATI VOWEL SIGN CANDRA O
ો	ो	GUJARATI VOWEL SIGN O
ૌ	ौ	GUJARATI VOWEL SIGN AU
્	्	GUJARATI SIGN VIRAMA
ૠ	ॠ	GUJARATI LETTER VOCALIC RR
ૡ	ॡ	GUJARATI LETTER VOCALIC LL
ૢ	ॢ	GUJARATI VOWEL SIGN VOCALIC L
ૣ	ॣ	GUJARATI VOWEL SIGN VOCALIC LL
ૹ	ॹ	GUJARATI LETTER ZHA
