ក	क	KHMER LETTER KA
ខ	ख	KHMER LETTER KHA
ច	च	KHMER LETTER CA
ឆ	छ	KHMER LETTER CHA
ដ	द	KHMER LETTER DA
ឋ	ठ	KHMER LETTER TTHA
ត	त	KHMER LETTER TA
ថ	थ	KHMER LETTER THA
ប	ब	KHMER LETTER BA
ផ	फ	KHMER LETTER PHA
ឝ	श	KHMER LETTER SHA
ស	स	KHMER LETTER SA
ហ	ह	KHMER LETTER HA
ឡ	ल	KHMER LETTER LA
អ	क़	KHMER LETTER QA
ា	ा	KHMER VOWEL SIGN AA
ិ	ि	KHMER VOWEL SIGN I
ី	ी	KHMER VOWEL SIGN II
ុ	ु	KHMER VOWEL SIGN U
ូ	ू	KHMER VOWEL SIGN UU
ើ	ऺ	KHMER VOWEL SIGN OE
េ	े	KHMER VOWEL SIGN E
ៃ	ै	KHMER VOWEL SIGN AI
ៅ	ौ	KHMER VOWEL SIGN AU
