ᮃ	अ	SUNDANESE LETTER A
ᮄ	इ	SUNDANESE LETTER I
ᮅ	उ	SUNDANESE LETTER U
ᮇ	ओ	SUNDANESE LETTER O
ᮈ	ए	SUNDANESE LETTER E
ᮊ	क	SUNDANESE LETTER KA
ᮋ	क़	SUNDANESE LETTER QA
ᮌ	ग	SUNDANESE LETTER GA
ᮍ	ङ	SUNDANESE LETTER NGA
ᮎ	च	SUNDANESE LETTER CA
ᮏ	ज	SUNDANESE LETTER JA
ᮐ	ज़	SUNDANESE LETTER ZA
ᮑ	ञ	SUNDANESE LETTER NYA
ᮒ	त	SUNDANESE LETTER TA
ᮓ	द	SUNDANESE LETTER DA
ᮔ	न	SUNDANESE LETTER NA
ᮕ	प	SUNDANESE LETTER PA
ᮖ	फ़	SUNDANESE LETTER FA
ᮗ	व	SUNDANESE LETTER VA
ᮘ	ब	SUNDANESE LETTER BA
ᮙ	म	SUNDANESE LETTER MA
ᮚ	य	SUNDANESE LETTER YA
ᮛ	र	SUNDANESE LETTER RA
ᮜ	ल	SUNDANESE LETTER LA
ᮞ	स	SUNDANESE LETTER SA
ᮠ	ह	SUNDANESE LETTER HA
᮫	्	SUNDANESE SIGN VIRAMA
ᮮ	ख	SUNDANESE LETTER KHA
ᮽ	भ	SUNDANESE LETTER BHA
