ஂ	ं	TAMIL SIGN ANUSVARA
ஃ	ः	TAMIL SIGN VISARGA
அ	अ	TAMIL LETTER A
ஆ	आ	TAMIL LETTER AA
இ	इ	TAMIL LETTER I
ஈ	ई	TAMIL LETTER II
உ	उ	TAMIL LETTER U
ஊ	ऊ	TAMIL LETTER UU
எ	ए	TAMIL LETTER E
ஐ	ऐ	TAMIL LETTER AI
ஒ	ओ	TAMIL LETTER O
ஔ	औ	TAMIL LETTER AU
க	क	TAMIL LETTER KA
ங	ङ	TAMIL LETTER NGA
ச	च	TAMIL LETTER CA
ஜ	ज	TAMIL LETTER JA
ஞ	ञ	TAMIL LETTER NYA
ட	ट	TAMIL LETTER TTA
ண	ण	TAMIL LETTER NNA
த	त	TAMIL LETTER TA
ந	न	TAMIL LETTER NA
ன	ऩ	TAMIL LETTER NNNA
ப	प	TAMIL LETTER PA
ம	म	TAMIL LETTER MA
ய	य	TAMIL LETTER YA
ர	र	TAMIL LETTER RA
ற	ऱ	TAMIL LETTER RRA
ல	ल	TAMIL LETTER LA
ள	ळ	TAMIL LETTER LLA
ழ	ऴ	TAMIL LETTER LLLA
வ	व	TAMIL LETTER VA
ஶ	श	TAMIL LETTER SHA
ஷ	ष	TAMIL LETTER SSA
ஸ	स	TAMIL LETTER SA
ஹ	ह	TAMIL LETTER HA
ா	ा	TAMIL VOWEL SIGN AA
ி	ि	TAMIL VOWEL SIGN I
ீ	ी	TAMIL VOWEL SIGN II
ு	ु	TAMIL VOWEL SIGN U
ூ	ू	TAMIL VOWEL SIGN UU
ெ	े	TAMIL VOWEL SIGN E
ை	ै	TAMIL VOWEL SIGN AI
ொ	ो	TAMIL VOWEL SIGN O
ௌ	ौ	TAMIL VOWEL SIGN AU
்	्	TAMIL SIGN VIRAMA
